registro_id,data_pedido,cidade,uf,sku,categoria_peca,curva_abc,estoque_atual,demanda_mensal,lead_time_dias,custo_aquisicao,preco_venda,imposto_pct,custo_frete,tempo_entrega_dias,status_entrega,avaria,devolucao,margem_lucro,observacao
AUTO-00000,2025-10-28,uberaba,MG,SKU5936,eixo,A,45,139,12,"738,33",1763.45,12.33,102.06,4,atrasado,nao,nao,58.13,
AUTO-00001,data_invalida,São Paulo,SP,SKU4474,eixo,C,99,39,11,"497,53",711.2,24.99,56.04,9,procesado,sim,sim,30.04,
AUTO-00002,2025-05-15,Campinas,SP,SKU1691,rolamnto,A,75,90,1,576.74,1275.13,9.33,10.58,9,,nao,nao,54.77,
AUTO-00003,2025-03-24,são paulo,SP,SKU5607,correia,C,43,46,11,763.3,1241.88,9.35,96.68,14,,nao,sim,38.54,
AUTO-00004,2025-06-23,Uberlândia,MG,SKU6717,correiaa,A,95,105,12,570.32,1149.78,18.82,48.5,6,,sim,sim,50.4,
AUTO-00005,2025-04-16,Campinas,SP,SKU7890,rolamento,C,90,119,4,726.49,1627.75,18.63,148.84,2,,sim,sim,55.37,
AUTO-00006,04/03/2025,Campinas,SP,SKU3637,correia,C,32,30,10,647.85,854.71,17.57,17.79,7,entregue,nao,nao,24.2,
AUTO-00007,2025-10-09,Uberlândia,MG,SKU9325,correia,C,101,46,17,401.05,589.51,24.08,38.93,5,atrasado,sim,sim,31.97,
AUTO-00008,2025-05-25,Campinas,SP,SKU8821,correiaa,C,91,67,5,116.75,180.79,19.61,46.02,5,procesado,sim,nao,35.42,
AUTO-00009,10-16-2025,Campinas,SP,SKU2145,correiaa,C,72,126,11,603.19,713.87,9.37,128.33,11,atrasado,nao,nao,15.5,
AUTO-00010,2025-08-18,são paulo,SP,SKU3969,correiaa,A,10000,21,3,307.07,478.93,20.57,143.62,7,,sim,nao,35.88,OUTLIER estoque
AUTO-00011,2025-04-22,Uberlândia,MG,SKU5763,rolamnto,C,99,49,5,122.98,211.21,13.61,175.71,6,atrasado,nao,sim,41.77,
AUTO-00012,2025-06-14,Uberlândia,MG,SKU1772,outros,B,39,107,12,"457,98",811.62,24.49,30.11,1,procesado,sim,sim,43.57,
AUTO-00013,2025-02-22,São Paulo,sp,SKU2297,correiaa,B,80,68,10,279.9,378.0,23.76,142.91,3,,sim,nao,25.95,
AUTO-00014,2025-08-20,São Paulo,SP,SKU9923,engrenagem,B,93,129,3,708.91,1470.73,8.18,140.72,8,entregue,nao,sim,51.8,
AUTO-00015,data_invalida,Campinas,SP,SKU7133,rolamnto,A,0,12,10,543.93,1115.96,11.4,140.01,6,procesado,sim,sim,51.26,
