registro_id,data_evento,cidade,uf,canal,dispositivo,categoria_produto,produto,preco_produto,valor_frete,cupom_utilizado,desconto_pct,etapa_funil,adicionou_carrinho,iniciou_pagamento,pagamento_aprovado,motivo_falha_pagamento,tempo_site_seg,quantidade_cliques,avaliacao_experiencia,origem_trafego,status_pedido,observacao
ECOM-00000,2025-04-04,Curitiba,pr,site,mobile,smartphone,Galaxy X,6406.85,21.91,nao,5,pagamento,sim,sim,nao,limite_insuficiente,741,14,4.2,organico,,
ECOM-00001,16/04/2025,Uberlândia,MG,site,mobile,smartfone,Earbuds,606.51,78.41,nao,20,compra,sim,sim,nao,,240,26,3.0,organico,abandonado,
ECOM-00002,2025-04-03,Campinas,SP,site,mobile,notbook,Redmi Pro,3431.93,57.94,nao,20,carrinho,sim,nao,nao,,551,10,5,email,procesado,
ECOM-00003,2025-10-20,Curitiba,PR,app,mobile,fone,Headset Gamer,"366,88","59,56",nao,20,visualizou,sim,nao,nao,,5,21,"4,0",email,falha_pagamento,
ECOM-00004,2025-08-29,uberlândia,MG,app,mobile,smartphone,Redmi Pro,2044.1,"11,51",,20,visualizou,nao,nao,nao,,137,12,3.9,google_ads,abandonado,
ECOM-00005,2025-06-23,Uberaba,MG,app,mobile,smartphone,Moto Plus,3338.4,"55,29",nao,0,pagamento,sim,sim,nao,,164,17,3.7,instagram,abandonado,
ECOM-00006,2025-06-18,Campinas,SP,app,mobile,fone,Headset Gamer,799.12,64.74,nao,15,carrinho,sim,nao,nao,,,28,2.7,organico,finalizado,
ECOM-00007,01/06/2025,São Paulo,SP,site,tablet,smartwatch,Watch Pro,2064.93,58.7,nao,10,visualizou,sim,nao,nao,,197,12,3.4,google_ads,,
ECOM-00008,2025-06-07,Salvador,BA,app,mobile,acessorios,Teclado,286.1,39.61,nao,0,visualizou,nao,nao,nao,,335,9,3.4,organico,finalizado,
ECOM-00009,2025-02-22,são paulo,SP,site,mobile,acessorios,Cabo USB-C,314.22,16.33,nao,5,carrinho,sim,nao,nao,,321,22,"3,4",organico,,
ECOM-00010,2025-08-30,Uberaba,MG,site,desktop,smartphone,iPhone Z,99999.99,18.0,sim,5,visualizou,nao,nao,nao,,293,1,4.1,google_ads,,OUTLIER preco muito alto
ECOM-00011,2025-06-14,são paulo,SP,app,mobile,notebook,Notebook Office,6427.46,"50,53",sim,20,visualizou,sim,nao,nao,,397,18,5,instagram,falha_pagamento,
ECOM-00012,data_invalida,São Paulo,SP,app,mobile,smartphone,Moto Plus,2227.46,"63,01",nao,0,pagamento,sim,sim,nao,cartao_recusado,370,14,1.9,direto,,
ECOM-00013,2025-01-08,Uberlândia,MG,site,tablet,acessorios,Teclado,"248,57","17,73",sim,20,compra,sim,sim,sim,,442,13,4.3,direto,,
ECOM-00014,2025-03-07,são paulo,SP,app,mobile,smartwatch,Smartwatch Fit,1873.89,29.91,sim,0,visualizou,nao,nao,nao,,360,1,3.6,organico,procesado,
ECOM-00015,2025-04-21,Goiânia,GO,site,desktop,smartphone,Moto Plus,2036.18,35.18,sim,15,carrinho,sim,nao,nao,,5,19,3.8,organico,abandonado,
ECOM-00016,2025-08-27,Campinas,SP,site,tablet,smartwatch,Smartwatch Fit,1461.13,10.45,,15,pagamento,sim,sim,nao,pix_expirado,255,19,4.2,direto,abandonado,
ECOM-00017,2025-08-10,São Paulo,SP,site,mobile,smartphone,Redmi Pro,"6014,27",44.65,sim,15,pagamento,sim,sim,nao,limite_insuficiente,224,17,3.4,email,falha_pagamento,
ECOM-00018,2025-08-16,Goiânia,GO,site,mobile,fone,Headset Gamer,545.92,"41,4",sim,0,compra,sim,sim,sim,,484,5,3.0,google_ads,falha_pagamento,
ECOM-00019,data_invalida,Curitiba,PR,app,mobile,notebook,Notebook Gamer,"6911,57","30,32",nao,20,pagamento,sim,sim,nao,,415,2,4.2,google_ads,abandonado,
ECOM-00020,2025-06-24,Campinas,SP,site,mobile,notebook,Ultrabook,6373.52,38.37,sim,5,carrinho,sim,nao,nao,,431,4,4.1,organico,procesado,
ECOM-00021,2025-01-09,Goiânia,GO,site,mobile,notebook,Ultrabook,4310.42,"21,58",,5,compra,sim,sim,sim,,5,15,2.4,email,finalizado,
ECOM-00022,2025-05-27,Goiânia,GO,app,mobile,acessorios,Mouse,221.45,"54,6",sim,5,visualizou,sim,nao,nao,,486,1,3.6,google_ads,,
ECOM-00023,2025-03-12,São Paulo,SP,site,desktop,acessorios,Mouse,223.0,18.65,nao,10,pagamento,sim,sim,nao,pix_expirado,159,1,4.0,google_ads,procesado,
ECOM-00024,2025-06-18,Salvador,BA,site,mobile,fone,Earbuds,376.7,4.21,nao,5,carrinho,sim,nao,nao,,29,9,5,google_ads,procesado,
ECOM-00025,25/06/2025,Curitiba,PR,app,mobile,smartwatch,Smartwatch Fit,1004.4,1500.00,sim,20,pagamento,sim,sim,nao,pix_expirado,586,16,3.5,google_ads,finalizado,OUTLIER frete muito alto
ECOM-00026,2025-01-06,são paulo,SP,app,mobile,notebook,Notebook Office,5820.93,19.33,nao,0,carrinho,sim,nao,nao,,311,16,"2,0",google_ads,abandonado,
ECOM-00027,2025-05-17,Uberaba,MG,app,mobile,smartwatch,Smartwatch Fit,644.48,68.68,sim,15,carrinho,sim,nao,nao,,284,17,4.2,google_ads,falha_pagamento,
ECOM-00028,2025-05-21,Uberlândia,MG,site,mobile,smartphone,Galaxy X,1105.27,69.16,sim,15,carrinho,sim,nao,nao,,239,13,4.5,google_ads,procesado,
ECOM-00029,2025-09-17,São Paulo,SP,site,mobile,smartphone,Moto Plus,2185.19,37.67,nao,0,carrinho,sim,nao,nao,,574,26,1,organico,falha_pagamento,
ECOM-00030,2025-04-25,Uberaba,MG,app,mobile,smartphone,Redmi Pro,2696.49,"65,2",sim,5,compra,sim,sim,sim,,314,22,4.6,direto,,
ECOM-00031,2025-05-30,Goiânia,GO,site,mobile,smartwatch,Watch Pro,1986.85,66.05,sim,5,carrinho,sim,nao,nao,,295,4,5,instagram,finalizado,
ECOM-00032,2025-01-30,Curitiba,PR,app,desktop,smartphone,Redmi Pro,"2986,25",25.71,sim,10,compra,sim,sim,nao,limite_insuficiente,5,11,"3,6",instagram,falha_pagamento,
ECOM-00033,2025-02-19,Campinas,SP,site,mobile,notebook,Notebook Office,"3730,43",24.44,sim,0,pagamento,sim,sim,nao,cartao_recusado,5,12,5,instagram,abandonado,
ECOM-00034,2025-08-01,Goiânia,GO,site,desktop,notebook,Notebook Office,7473.56,15.17,nao,0,pagamento,sim,sim,nao,,326,16,3.6,google_ads,falha_pagamento,
ECOM-00035,2025-01-04,Salvador,BA,site,tablet,acessorios,Teclado,129.86,12.25,sim,15,visualizou,nao,nao,nao,,273,14,4.3,organico,,
ECOM-00036,2025-05-07,São Paulo,SP,app,desktop,acessorios,Mouse,201.24,10.54,nao,0,carrinho,sim,nao,nao,,356,12,1.8,google_ads,procesado,
ECOM-00037,03/06/2025,Goiânia,GO,app,mobile,smartphone,iPhone Z,1970.65,53.1,sim,0,compra,sim,sim,sim,,253,1,"2,4",email,falha_pagamento,
ECOM-00038,07-22-2025,Goiânia,GO,app,mobile,smartphone,Moto Plus,4703.97,12.15,nao,0,carrinho,sim,nao,nao,,5,25,3.6,organico,,
ECOM-00039,2025-06-06,Uberaba,mg,app,mobile,smartwatch,Watch Pro,1347.87,59.26,,15,carrinho,sim,nao,nao,,402,1,"4,4",organico,falha_pagamento,
ECOM-00040,2025-05-09,Salvador,BA,site,mobile,smartphone,iPhone Z,1447.72,65.95,sim,150,pagamento,sim,sim,nao,erro_gateway,427,4,3.9,organico,,VALOR INVALIDO desconto maior que 100
ECOM-00041,2025-10-17,Salvador,BA,app,mobile,smartwatch,Smartwatch Fit,1443.82,23.62,nao,0,compra,sim,sim,sim,,464,8,4.7,google_ads,,
ECOM-00042,2025-07-21,São Paulo,SP,app,mobile,notebook,Notebook Office,"7833,83",60.75,sim,15,carrinho,sim,nao,nao,,60,3,2.0,organico,finalizado,
ECOM-00043,10-23-2025,Uberlândia,MG,app,mobile,smartphone,Moto Plus,4024.48,40.98,nao,10,carrinho,sim,nao,nao,,75,24,4.5,instagram,finalizado,
ECOM-00044,2025-01-22,Goiânia,GO,app,mobile,smartwatch,Watch Pro,2009.41,35.05,sim,20,visualizou,nao,nao,nao,,300,23,4.4,instagram,abandonado,
ECOM-00045,2025-04-07,Campinas,sp,site,mobile,smartphone,Moto Plus,1701.45,"16,08",nao,0,carrinho,sim,nao,nao,,527,8,1.9,organico,falha_pagamento,
ECOM-00046,2025-10-27,salvador,BA,site,desktop,notebook,Notebook Office,5513.15,23.18,,5,carrinho,sim,nao,nao,,177,14,3.7,organico,procesado,
ECOM-00047,03-20-2025,Uberaba,mg,site,mobile,fone,Fone Bluetooth,503.87,"46,74",,20,visualizou,nao,nao,nao,,270,11,3.9,instagram,falha_pagamento,
ECOM-00048,2025-03-26,Salvador,BA,site,mobile,smartphone,Redmi Pro,6046.79,"32,99",nao,20,visualizou,sim,nao,nao,,166,7,1.6,instagram,abandonado,
ECOM-00049,2025-10-27,uberlândia,MG,site,mobile,smartphone,iPhone Z,2396.26,"74,68",sim,15,carrinho,sim,nao,nao,,333,17,"4,9",google_ads,falha_pagamento,
ECOM-00050,2025-04-13,Uberaba,MG,site,mobile,smartphone,iPhone Z,3450.5,53.37,sim,10,carrinho,sim,nao,nao,,356,32,4.1,organico,falha_pagamento,
ECOM-00051,2025-07-20,São Paulo,SP,app,mobile,smartphone,iPhone Z,"5957,03",24.67,sim,0,pagamento,sim,sim,nao,,197,26,3.7,organico,,
ECOM-00052,19/06/2025,Uberlândia,MG,site,desktop,notebook,Notebook Gamer,9149.87,11.35,nao,0,visualizou,nao,nao,nao,,213,22,"2,0",instagram,falha_pagamento,
ECOM-00053,2025-02-05,Uberlândia,MG,app,desktop,smartphone,iPhone Z,1501.47,"72,09",sim,0,visualizou,nao,nao,nao,,315,28,4.2,organico,finalizado,
ECOM-00054,09/03/2025,salvador,BA,app,desktop,smartwatch,Watch Pro,2234.04,"40,55",,0,visualizou,nao,nao,nao,,365,22,"3,7",direto,,
ECOM-00055,24/07/2025,Uberlândia,MG,site,mobile,smartfone,Redmi Pro,4143.3,9.83,,10,compra,sim,sim,sim,,50000,1,4.4,instagram,finalizado,OUTLIER tempo no site extremo
ECOM-00056,2025-03-01,Goiânia,GO,app,desktop,smartwatch,Watch Pro,"862,16",75.49,nao,5,visualizou,nao,nao,nao,,536,20,4.6,organico,,
ECOM-00057,2025-09-09,São Paulo,SP,site,mobile,smartfone,Galaxy X,"1586,26","20,35",,5,visualizou,nao,nao,nao,,132,6,4.1,organico,procesado,
ECOM-00058,2025-03-13,Campinas,SP,app,desktop,smartfone,Ultrabook,1990.18,"29,19",nao,10,carrinho,sim,nao,nao,,414,5,5,google_ads,abandonado,
ECOM-00059,2025-03-08,Campinas,SP,site,desktop,fone,Earbuds,799.58,"12,68",,0,pagamento,sim,sim,nao,cartao_recusado,81,6,4.1,organico,,
ECOM-00060,03-19-2025,Uberlândia,MG,app,mobile,smartphone,iPhone Z,1087.81,0.41,nao,15,pagamento,sim,sim,nao,erro_gateway,85,21,4.6,organico,procesado,
ECOM-00061,2025-03-30,Uberaba,MG,site,desktop,notebook,Notebook Office,3900.27,62.59,nao,0,pagamento,sim,sim,nao,cartao_recusado,5,21,4.7,organico,,
ECOM-00062,08-01-2025,São Paulo,SP,app,mobile,smartwatch,Watch Pro,2113.37,18.76,nao,15,pagamento,sim,sim,nao,limite_insuficiente,5,27,3.3,direto,falha_pagamento,
ECOM-00063,01-24-2025,Uberaba,MG,site,desktop,fone,Fone Bluetooth,578.92,"58,45",sim,15,compra,sim,sim,nao,limite_insuficiente,,18,5,direto,procesado,
ECOM-00064,2025-02-07,Uberaba,MG,site,mobile,smartphone,iPhone Z,6485.4,40.16,nao,20,visualizou,nao,nao,nao,,145,24,4.2,google_ads,falha_pagamento,
ECOM-00065,2025-07-11,Goiânia,GO,app,mobile,notebook,Notebook Office,4445.24,68.21,sim,5,visualizou,sim,nao,nao,,363,1,2.9,email,procesado,
ECOM-00066,03/07/2025,Uberlândia,MG,app,tablet,notbook,iPhone Z,6476.46,48.66,,10,visualizou,sim,nao,nao,,166,19,3.8,google_ads,falha_pagamento,
ECOM-00067,2025-08-15,Campinas,sp,site,mobile,notebook,Notebook Office,6674.65,62.29,,0,compra,sim,sim,sim,,584,18,2.7,instagram,finalizado,
ECOM-00068,2025-04-07,Uberaba,MG,site,mobile,smartwatch,Watch Pro,643.73,"26,78",,0,carrinho,sim,nao,nao,,583,25,3.8,organico,procesado,
ECOM-00069,2025-10-21,Curitiba,PR,app,mobile,smartphone,Galaxy X,3122.7,11.49,sim,0,pagamento,sim,sim,nao,cartao_recusado,300,1,3.7,instagram,finalizado,
ECOM-00070,2025-09-20,Uberlândia,MG,site,mobile,acessorios,Teclado,94.52,13.31,nao,10,compra,sim,sim,sim,,328,900,5,direto,procesado,OUTLIER quantidade de cliques
ECOM-00071,2025-05-20,Curitiba,PR,site,mobile,smartphone,iPhone Z,6215.1,20.54,nao,15,compra,sim,sim,sim,,188,16,4.1,google_ads,procesado,
ECOM-00072,2025-05-16,Salvador,BA,site,mobile,fone,Earbuds,816.85,49.29,nao,15,visualizou,nao,nao,nao,,213,9,3.9,google_ads,abandonado,
ECOM-00073,2025-01-12,uberlândia,MG,site,desktop,notebook,Notebook Office,3897.86,79.41,nao,5,carrinho,sim,nao,nao,,198,18,"5,0",google_ads,finalizado,
ECOM-00074,09/07/2025,São Paulo,SP,app,mobile,smartphone,Redmi Pro,4407.67,4.83,sim,20,compra,sim,sim,sim,,503,10,5,email,abandonado,
ECOM-00075,2025-04-29,Goiânia,GO,site,mobile,smartwatch,Watch Pro,1263.42,1.5,,15,visualizou,sim,nao,nao,,306,18,2.4,google_ads,finalizado,
ECOM-00076,2025-04-06,Curitiba,PR,site,desktop,notebook,Notebook Office,3634.58,78.31,nao,0,visualizou,sim,nao,nao,,,16,4.7,email,abandonado,
ECOM-00077,2025-01-23,Campinas,SP,site,mobile,notebook,Notebook Gamer,3084.94,68.25,,0,visualizou,sim,nao,nao,,476,5,"4,0",google_ads,procesado,
ECOM-00078,2025-09-11,Curitiba,PR,app,mobile,smartphone,Galaxy X,1211.13,17.48,,20,pagamento,sim,sim,nao,limite_insuficiente,186,11,5,organico,falha_pagamento,
ECOM-00079,2025-04-08,Campinas,SP,site,mobile,notebook,Notebook Office,3138.11,71.44,sim,15,visualizou,nao,nao,nao,,511,3,2.2,organico,,
ECOM-00080,2025-06-28,Curitiba,PR,site,desktop,smartphone,iPhone Z,2657.12,34.72,nao,15,visualizou,nao,nao,nao,,518,8,4.2,direto,procesado,
ECOM-00081,2025-02-23,São Paulo,SP,app,mobile,smartphone,Galaxy X,5803.8,3.6,sim,20,compra,sim,sim,sim,,195,8,5,google_ads,finalizado,
ECOM-00082,2025-06-24,Campinas,SP,site,mobile,acessorios,Cabo USB-C,243.77,55.73,,20,compra,sim,sim,sim,,74,6,3.8,organico,,
ECOM-00083,2025-07-25,Salvador,BA,app,mobile,notebook,Notebook Office,"9254,4","24,81",,10,pagamento,sim,sim,nao,cartao_recusado,282,17,3.7,google_ads,finalizado,
ECOM-00084,2025-09-19,são paulo,sp,app,desktop,notbook,Smartwatch Fit,1755.77,55.78,,0,carrinho,sim,nao,nao,,462,16,4.0,direto,falha_pagamento,
ECOM-00085,2025-07-13,Curitiba,PR,site,desktop,smartwatch,Watch Pro,878.46,"51,19",sim,10,visualizou,nao,nao,nao,,147,9,9,instagram,procesado,VALOR INVALIDO avaliacao fora da escala
ECOM-00086,2025-04-10,Uberlândia,MG,site,mobile,notebook,Notebook Gamer,5403.66,58.86,nao,5,pagamento,sim,sim,nao,cartao_recusado,186,1,4.5,organico,procesado,
ECOM-00087,2025-07-31,Uberaba,MG,site,mobile,notebook,Notebook Gamer,4075.88,19.07,,0,carrinho,sim,nao,nao,,427,4,"2,9",organico,finalizado,
ECOM-00088,2025-07-30,Uberlândia,MG,app,mobile,notebook,Ultrabook,8057.26,72.65,sim,0,visualizou,nao,nao,nao,,258,16,3.7,direto,,
ECOM-00089,2025-08-02,Campinas,SP,site,mobile,smartphone,iPhone Z,4430.0,64.3,nao,5,pagamento,sim,sim,nao,pix_expirado,223,3,2.2,instagram,finalizado,
ECOM-00090,2025-01-13,Curitiba,pr,site,mobile,smartphone,Redmi Pro,"3516,36","52,08",nao,0,pagamento,sim,sim,nao,pix_expirado,343,8,5,email,,
ECOM-00091,2025-04-18,Uberaba,MG,site,mobile,notebook,Ultrabook,"2749,99",43.38,,10,visualizou,nao,nao,nao,,344,1,3.9,organico,,
ECOM-00092,2025-06-21,Curitiba,PR,site,mobile,smartphone,iPhone Z,"1368,97","66,51",,0,carrinho,sim,nao,nao,,364,4,2.9,email,,
ECOM-00093,2025-06-09,Curitiba,PR,app,desktop,smartwatch,Watch Pro,1432.8,"74,83",sim,5,compra,sim,sim,sim,,291,31,5,instagram,finalizado,
ECOM-00094,2025-05-20,Salvador,BA,app,mobile,smartphone,Galaxy X,2472.58,76.85,sim,0,compra,sim,sim,sim,,352,18,3.1,email,procesado,
ECOM-00095,2025-05-16,Salvador,BA,app,desktop,notebook,Notebook Gamer,5464.8,56.33,sim,0,visualizou,nao,nao,nao,,196,18,2.5,google_ads,finalizado,
ECOM-00096,2025-07-17,Uberaba,MG,site,tablet,notebook,Notebook Office,6322.59,66.5,nao,15,pagamento,sim,sim,nao,,83,4,"3,7",organico,falha_pagamento,
ECOM-00097,2025-09-25,Curitiba,PR,site,desktop,notebook,Notebook Office,5164.85,"44,23",sim,5,visualizou,nao,nao,nao,,199,14,4.3,google_ads,,
ECOM-00098,2025-01-05,Salvador,BA,app,mobile,smartwatch,Smartwatch Fit,"1089,63","23,87",nao,15,pagamento,sim,sim,nao,pix_expirado,321,25,3.1,google_ads,procesado,
ECOM-00099,2025-04-29,São Paulo,SP,app,mobile,fone,Fone Bluetooth,281.64,10.63,sim,0,pagamento,sim,sim,nao,cartao_recusado,23,3,"1,8",google_ads,falha_pagamento,
ECOM-00100,2025-08-12,Goiânia,GO,site,mobile,acessorios,Cabo USB-C,-200,23.96,,0,carrinho,sim,nao,nao,,193,25,"3,7",google_ads,procesado,VALOR INVALIDO preco negativo
