registro_id,data_viagem,cidade,uf,regiao,latitude,longitude,modal,tempo_viagem_min,distancia_km,custo,avaliacao_usuario,usuario_id,frequencia_uso_mes,tempo_desde_ultima_viagem_dias,cupom_utilizado,cancelou_viagem,clima,hora,dia_semana,observacao
ECO-00000,2025-09-27,Uberlândia,MG,oeste,-18.927273,-48.25581,patinete,33,3.19,4.79,2.9,U374,12,34,sim,nao,sol,1,ter,
ECO-00001,02-15-2025,Uberlândia,MG,leste,"-18,935736",-48.289407,bike,12,4.45,10.14,4.7,U279,8,41,,nao,chuva,21,dom,
ECO-00002,19/09/2025,Salvador,BA,centro,-12.981363,-38.474097,patinete,8,5.74,11.1,4.2,U377,14,5,sim,sim,nublado,16,sab,
ECO-00003,2025-02-02,Curitiba,PR,leste,-25.404827,-49.275499,bike,30,2.37,6.76,2.8,U18,29,59,,sim,chuva,1,sex,
ECO-00004,2025-01-29,Curitiba,PR,norte,-25.412439,-49.244203,patinete,16,3.08,12.12,3.3,U189,16,7,nao,nao,sol,17,ter,
ECO-00005,2025-07-13,Uberaba,MG,oeste,-19.722675,-47.923988,patinete,17,7.28,18.26,5.0,U10,25,45,nao,nao,nublado,21,ter,
ECO-00006,data_invalida,Uberaba,MG,oeste,-19.704063,-47.894589,bike,13,1.47,2.21,3.9,U388,21,53,nao,nao,sol,0,qua,
ECO-00007,data_invalida,Curitiba,pr,norte,-25.440538,"-49,239972",bike,30,"6,74",25.51,4.2,U176,2,48,,nao,chuva,8,sex,
ECO-00008,2025-02-22,São Paulo,SP,sul,-23.567504,-46.656981,bike,27,0.5,1.16,2.8,U285,22,43,nao,sim,sol,7,seg,
ECO-00009,21/09/2025,São Paulo,SP,oeste,-23.59134,-46.608258,patinete,27,8.91,21.95,5.0,U159,7,21,,sim,nublado,10,dom,
ECO-00010,2025-03-14,São Paulo,SP,leste,-23.593459,-46.664558,bike,300,9.47,23.42,1.7,U193,29,13,,sim,sol,6,qui,OUTLIER tempo
ECO-00011,2025-01-13,Salvador,BA,sul,-13.011067,-38.5436,publico,26,"3,24",12.45,2.4,U301,0,22,nao,sim,nublado,16,sab,
ECO-00012,2025-01-20,Uberaba,MG,centro,-19.794741,-47.903297,patinete,12,2.3,7.19,1.5,U131,8,40,sim,sim,chuva,13,sab,
ECO-00013,07/02/2025,Curitiba,PR,norte,"-25,399628",-49.300279,carro,24,0.5,1.22,2.8,U82,19,7,sim,sim,sol,7,qua,
ECO-00014,2025-05-31,Curitiba,PR,leste,-25.379549,-49.259847,bike,16,"5,71",14.84,1.0,U107,2,17,sim,nao,sol,9,dom,
