registro_id,data_lead,cidade,uf,idade_cliente,renda_cliente,sexo,segmento_empresa,porte_empresa,origem_lead,servico_interesse,valor_proposta,status_proposta,taxa_abandono_formulario_pct,tempo_decisao_dias,score_ux,feedback_cliente,proposta_enviada,proposta_aceita,cliente_perdido,motivo_perda,tempo_no_site_seg,cliques_formulario,status_registro,observacao
NC-00000,09-02-2025,Uberlândia,MG,33,"9577,13",Outro,industria,media,site,app_mobile,8294.46,em_analise,12.74,17,9.0,nao_entendeu_proposta,sim,nao,nao,NA,258,15,validado,
NC-00001,2025-10-05,Uberaba,MG,63,10732.25,M,servicos,MEI,site,sistema_web,13955.99,em analise,57.42,23,8.4,nao_entendeu_proposta,sim,sim,nao,concorrencia,318,6,,
NC-00002,2025-10-15,Campinas,SP,47,"3127,41",,servicos,pequena,instagram,consultoria_digital,8820.77,aceita,41.41,29,"7,1",NA,nao,sim,nao,,224,11,,
NC-00003,2025-03-01,Curitiba,PR,27,4145.54,Outro,saude,MEI,instagram,automacao_processos,7503.7,aceita,"37,04",0,"8,5",,sim,sim,nao,falta_contato,299,6,procesado,
NC-00004,2025-04-15,Campinas,SP,18,5219.52,M,servicos,MEI,site,app_mobile,8977.7,em_analise,29.75,1,4.5,preco_alto,nao,nao,nao,NA,409,10,,
NC-00005,2025-09-21,Salvador,BA,59,1200,Outro,servicos,media,instagram,app_mobile,7925.72,recusada,28.22,8,6.1,NA,sim,nao,sim,falta_contato,5,0,pendente,
NC-00006,2025-05-07,Uberaba,MG,65,3961.05,Outro,varejo,MEI,google_ads,app_mobile,"12666,08",abandonada,44.66,20,6.0,NA,sim,nao,sim,concorrencia,288,11,,
NC-00007,data_invalida,Uberaba,MG,,4599.07,,saude,pequena,site,app_mobile,7058.37,aceita,19.2,8,6.4,preco_alto,nao,sim,nao,concorrencia,399,6,validado,
NC-00008,2025-07-04,Salvador,BA,26,4671.53,F,varejo,pequena,instagram,sistema_web,7449.29,aceita,61.41,14,8.5,NA,sim,sim,nao,prazo,230,9,pendente,
NC-00009,data_invalida,uberlândia,MG,37,"5089,47",F,varejo,grande,site,automacao_processos,3126.32,em_analise,58.05,15,9.1,preco_alto,sim,nao,nao,NA,250,3,pendente,
NC-00010,2025-06-22,Uberaba,mg,55,"1442,71",Outro,industria,grande,site,sistema_web,500000.00,aceita,0,21,7.7,demora_retorno,sim,sim,nao,preco,252,5,validado,OUTLIER valor de proposta muito alto
NC-00011,2025-04-08,Curitiba,PR,34,"3900,29",,varejo,pequena,instagram,automacao_processos,12592.19,recusada,87.88,0,"7,1",nao_entendeu_proposta,sim,nao,sim,concorrencia,249,2,procesado,
NC-00012,2025-03-15,Campinas,SP,34,9793.66,,saude,media,google_ads,app_mobile,500,aceita,72.0,15,5.2,concorrente,sim,sim,nao,concorrencia,5,8,pendente,
NC-00013,2025-08-02,uberlândia,mg,54,7170.03,M,industria,pequena,instagram,sistema_web,"3714,03",em_analise,58.18,21,5.2,nao_entendeu_proposta,sim,nao,nao,falta_contato,62,14,,
NC-00014,2025-09-02,Goiânia,GO,36,9612.09,Outro,saude,pequena,google_ads,consultoria_digital,11029.88,aceita,58.11,9,4.6,concorrente,sim,sim,nao,preco,343,10,validado,
NC-00015,2025-04-15,Goiânia,GO,47,1959.27,,saude,MEI,indicacao,consultoria_digital,6842.05,recusada,6.09,12,10,demora_retorno,sim,nao,sim,NA,397,4,validado,
NC-00016,01/09/2025,Salvador,BA,44,"7566,06",M,servicos,pequena,site,app_mobile,9847.23,em_analise,38.68,13,6.2,nao_entendeu_proposta,sim,nao,nao,,240,8,validado,
NC-00017,2025-04-02,Salvador,BA,67,1200,,varejo,pequena,google_ads,automacao_processos,6549.64,em_analise,52.38,33,"5,5",concorrente,sim,nao,nao,NA,63,8,,
NC-00018,2025-07-10,Curitiba,PR,39,"6256,91",,servicos,pequena,google_ads,sistema_web,8142.84,aceita,50.72,10,"4,9",NA,sim,sim,nao,prazo,249,10,procesado,
NC-00019,2025-09-16,Uberaba,MG,28,11505.46,,industria,pequena,evento,consultoria_digital,5028.55,em_analise,"6,63",13,5.7,nao_entendeu_proposta,nao,nao,nao,falta_contato,295,9,validado,
