registro_id,data_leitura,cidade,uf,usuario_id,livro,subgenero,classificacao_indicativa,idade_usuario,capitulo,avaliacao_capitulo,comentario,tempo_leitura_min,avaliacao_obra,tags,interacao,escritor_id,qualidade_texto_score,aderencia_genero,status_avaliacao,observacao
RP-00000,09-01-2025,Goiânia,GO,U196,A Santa Que Me Condena,fantasia sombria,14,37,13,,,3,1.1,adulto,avaliou,E29,4.6,8.1,procesado,
RP-00001,2025-01-14,São Paulo,mg,U223,A Santa Que Me Condena,darkromance,18,35,20,NA,NA,79,2.3,sombrio,curtiu,E68,9.1,8.2,procesado,
RP-00002,2025-06-21,Goiânia,PR,U215,Sombras Eternas,fantasia,14,21,11,NA,,78,4.0,juvenil,,E90,6.1,8.6,procesado,
RP-00003,data_invalida,Goiânia,GO,U16,Reino das Runas,fantasia sombria,14,38,23,NA,NA,92,3.8,aventura,comentou,E79,9.0,8.5,valido,
RP-00004,17/06/2025,Uberaba,MG,U184,A Santa Que Me Condena,darkromance,18,38,9,NA,,7,4.4,juvenil,,E59,8.6,1.5,,
RP-00005,2025-01-30,Curitiba,SP,U354,Sombras Eternas,fantasia_sombria,14,40,17,NA,ruim,14,2.3,magia,,E36,2.9,3.8,procesado,
RP-00006,29/07/2025,São Paulo,PR,U352,Sombras Eternas,darkromance,livre,24,22,3.3,NA,34,3.6,sombrio,avaliou,E44,6.4,3.4,,
RP-00007,2025-03-19,Curitiba,GO,U356,A Santa Que Me Condena,darkromance,14,22,25,2.4,,115,1.9,sombrio,,E10,1.8,5.3,,
RP-00008,2025-05-25,Curitiba,GO,U301,A Santa Que Me Condena,darkromance,,39,22,NA,ruim,108,1.4,juvenil,curtiu,E21,3.6,10.0,procesado,
RP-00009,2025-07-17,Curitiba,SP,U125,Im(pureza),infanto_juvenil,livre,31,25,2.5,muito bom,117,5.0,juvenil,,E92,7.8,2.6,valido,
RP-00010,02/07/2025,Uberaba,PR,U281,A Santa Que Me Condena,fantasia sombria,18,28,26,9,ruim,112,3.0,juvenil,curtiu,E65,5.6,5.8,,INVALIDO
RP-00011,data_invalida,São Paulo,mg,U188,Im(pureza),fantasia_sombria,,33,1,,NA,11,4.8,juvenil,,E52,6.2,8.3,,
RP-00012,2025-08-25,Curitiba,GO,U289,Reino das Runas,fantasia sombria,,36,18,,,96,3.4,romance,comentou,E6,6.9,5.7,procesado,
RP-00013,2025-04-30,Goiânia,MG,U155,A Santa Que Me Condena,dark_romance,14,18,9,NA,ruim,114,1.4,aventura,comentou,E72,9.5,9.4,valido,
RP-00014,22/07/2025,Uberaba,mg,U233,Reino das Runas,fantasia sombria,livre,27,10,4.2,muito bom,25,3.9,adulto,comentou,E63,6.2,2.2,procesado,
RP-00015,2025-06-16,São Paulo,MG,U204,Reino das Runas,fantasia sombria,,31,12,,muito bom,8,2.2,sombrio,avaliou,E44,3.9,8.2,valido,
