registro_id,data_venda,cidade,uf,cliente_id,modelo_sabre,cor_lamina,categoria,preco_venda,custo_producao,tempo_fabricacao_h,quantidade_produzida,quantidade_vendida,avaliacao_cliente,comentario,mes,participou_promocao,frequencia_compra,dias_desde_ultima_compra,programa_fidelidade,status_pedido,observacao
SABER-00000,data_invalida,São Paulo,sp,C273,elite,vermelho,customizado,542.83,387.98,9,32,27,4.1,ruim,4,,10,25,sim,,
SABER-00001,2025-02-03,São Paulo,SP,C196,classic,verde,customizado,"1695,72",782.56,18,49,19,1.6,NA,9,nao,1,70,sim,,
SABER-00002,2025-10-01,São Paulo,SP,C326,custom,vermelho,padrao,590.12,363.57,38,14,9,1.8,ruim,1,,7,5,sim,cancelado,
SABER-00003,03-10-2025,São Paulo,sp,C379,classic,verde,customizado,1390.51,593.99,28,3,2,4.7,ruim,3,,1,21,nao,procesado,
SABER-00004,2025-06-06,São Paulo,sp,C283,classic,azul,padrao,2770.97,1198.88,8,25,6,3.2,,12,,2,41,nao,cancelado,
SABER-00005,2025-02-23,São Paulo,sp,C216,premium,amarelo,customizado,569.31,289.34,27,20,14,3.3,,1,sim,5,81,nao,procesado,
SABER-00006,01-29-2025,São Paulo,sp,C129,elite,roxo,padrao,3350.57,1422.19,20,29,1,1.6,ótimo,4,sim,6,63,nao,procesado,
SABER-00007,2025-04-19,São Paulo,SP,C269,dual_blade,verde,customizado,2305.31,1102.38,37,27,1,1.4,ótimo,5,nao,1,86,sim,procesado,
SABER-00008,2025-07-10,São Paulo,SP,C31,elite,azul,customizado,1194.69,923.69,19,47,28,1.7,,6,sim,3,30,sim,finalizado,
SABER-00009,2025-08-01,São Paulo,SP,C12,classic,vermelho,customizado,2690.73,1328.44,46,44,20,4.0,ruim,6,,1,56,nao,procesado,
SABER-00010,2025-02-03,São Paulo,SP,C40,premium,vermelho,padrao,99999.99,815.19,8,47,22,2.6,ruim,1,,1,89,sim,cancelado,OUTLIER preco
SABER-00011,2025-08-01,São Paulo,sp,C17,classic,vermelho,padrao,731.22,549.83,14,46,19,1.3,ruim,12,sim,9,28,nao,cancelado,
SABER-00012,2025-03-27,São Paulo,sp,C370,custom,verde,customizado,1025.44,456.39,22,31,9,3.6,ótimo,11,,2,47,sim,,
SABER-00013,2025-03-26,São Paulo,sp,C178,elite,verde,customizado,2455.03,1155.6,41,20,9,1.0,ruim,3,,0,55,nao,,
SABER-00014,2025-01-10,São Paulo,SP,C360,premium,amarelo,padrao,1592.72,693.51,47,38,16,3.6,ruim,4,,2,6,sim,finalizado,
SABER-00015,09-26-2025,São Paulo,sp,C103,dual_blade,azul,customizado,"3243,43",1299.8,4,29,12,1.7,ótimo,8,,8,88,sim,cancelado,
SABER-00016,2025-02-05,São Paulo,sp,C46,custom,amarelo,customizado,2516.14,1099.86,27,38,20,4.6,ótimo,8,,10,48,sim,finalizado,
SABER-00017,2025-03-18,São Paulo,sp,C230,premium,verde,padrao,"2014,23",1357.91,39,33,16,3.0,,3,sim,8,12,nao,cancelado,
SABER-00018,2025-07-25,São Paulo,SP,C306,custom,azul,padrao,1257.28,795.0,9,41,38,4.0,ruim,5,sim,0,34,sim,cancelado,
SABER-00019,2025-04-26,São Paulo,SP,C360,custom,azul,padrao,2252.24,1228.29,13,43,33,2.1,NA,8,,8,41,nao,cancelado,
SABER-00020,2025-02-10,São Paulo,sp,C341,classic,verde,customizado,1824.7,838.09,5,3,3,2.0,ruim,11,sim,7,72,nao,cancelado,
SABER-00021,2025-07-07,São Paulo,sp,C155,custom,vermelho,customizado,"822,71",542.31,42,30,6,2.3,,9,nao,8,9,sim,,
SABER-00022,2025-08-02,São Paulo,SP,C45,dual_blade,azul,customizado,1083.11,742.38,6,19,6,3.1,,8,sim,0,72,nao,,
SABER-00023,2025-07-15,São Paulo,SP,C20,classic,vermelho,padrao,851.53,456.45,20,37,28,3.1,ruim,11,sim,9,72,nao,finalizado,
SABER-00024,2025-08-31,São Paulo,SP,C208,custom,azul,padrao,757.09,496.45,38,30,16,1.3,ótimo,10,sim,3,35,nao,,
SABER-00025,2025-02-05,São Paulo,SP,C16,dual_blade,verde,customizado,1667.06,-100,32,18,3,1.6,NA,2,,4,39,sim,cancelado,INVALIDO custo
SABER-00026,2025-08-04,São Paulo,SP,C295,custom,roxo,padrao,1981.04,843.76,29,1,0,3.6,NA,12,sim,5,5,nao,finalizado,
SABER-00027,2025-04-18,São Paulo,SP,C90,dual_blade,verde,padrao,398.3,304.76,28,45,35,1.6,ótimo,12,,2,63,nao,procesado,
