registro_id,data_pedido,cidade,uf,canal,tipo_pedido,cliente_id,frequencia_cliente_mes,dias_desde_ultimo_pedido,ticket_medio,prato,categoria_prato,quantidade_produzida,quantidade_vendida,custo_prato,preco_prato,tempo_entrega_min,avaliacao,dia_semana,hora,clima,promocao_ativa,status_pedido,observacao
SAB-00000,2025-10-01,São Paulo,SP,ifood,local,C170,11,39,20.4,frango_grelhado,massa,85,44,28.35,43.92,46,3.3,quinta,16,nublado,sim,finalizado,
SAB-00001,04-26-2025,São Paulo,SP,ifood,local,C338,4,45,"75,27",arroz,acompanhamento,95,6,16.96,46.16,41,1.7,sabado,17,nublado,,,
SAB-00002,2025-03-09,São Paulo,sp,ifood,local,C453,7,53,36.3,frango_grelhado,vegetariano,101,97,6.68,13.65,82,1.3,quarta,18,nublado,nao,,
SAB-00003,20/03/2025,São Paulo,SP,app,delivery,C267,2,18,71.44,feijao,vegetariano,51,30,13.68,31.34,13,1.8,sexta,21,nublado,,cancelado,
SAB-00004,08-08-2025,São Paulo,SP,app,local,C494,1,29,46.93,carne_assada,proteina,67,46,28.54,64.55,55,2.7,quinta,15,nublado,,finalizado,
SAB-00005,2025-02-21,São Paulo,sp,local,delivery,C349,1,60,64.11,feijao,vegetariano,61,22,27.81,76.04,77,2.8,sexta,11,sol,sim,finalizado,
SAB-00006,2025-05-26,São Paulo,SP,ifood,delivery,C431,2,5,75.13,salada,acompanhamento,31,1,18.15,36.11,57,1.5,quinta,20,sol,,finalizado,
SAB-00007,2025-10-26,São Paulo,SP,local,local,C370,2,4,61.72,lasanha,massa,30,15,24.59,66.03,66,3.2,quinta,10,chuva,sim,procesado,
SAB-00008,19/10/2025,São Paulo,SP,ifood,delivery,C498,11,27,"44,59",carne_assada,massa,28,27,25.36,40.53,85,2.3,terça,14,nublado,,procesado,
SAB-00009,2025-01-15,São Paulo,SP,app,delivery,C369,7,55,"69,12",frango_grelhado,proteina,90,86,10.31,24.11,80,3.7,sabado,17,sol,,procesado,
SAB-00010,2025-05-22,São Paulo,sp,local,delivery,C248,4,31,36.93,frango_grelhado,acompanhamento,78,38,18.41,38.35,300,3.2,segunda,20,sol,sim,,OUTLIER entrega
SAB-00011,2025-10-09,São Paulo,SP,ifood,delivery,C127,6,6,77.03,salada,acompanhamento,55,0,29.72,47.65,90,2.2,sexta,14,chuva,nao,,
SAB-00012,2025-08-03,São Paulo,SP,ifood,local,C159,6,57,22.92,frango_grelhado,massa,72,47,18.04,42.42,45,2.2,domingo,19,sol,sim,procesado,
SAB-00013,2025-04-04,São Paulo,sp,ifood,local,C320,6,33,41.92,frango_grelhado,proteina,13,3,29.66,53.7,53,4.7,sabado,22,sol,nao,finalizado,
SAB-00014,2025-02-17,São Paulo,sp,app,local,C376,0,51,36.99,carne_assada,proteina,93,41,5.38,11.29,26,1.7,segunda,18,sol,sim,finalizado,
SAB-00015,2025-06-19,São Paulo,sp,ifood,local,C56,3,42,36.25,frango_grelhado,acompanhamento,85,1,28.55,76.25,72,3.5,sabado,16,nublado,sim,,
SAB-00016,2025-02-06,São Paulo,sp,ifood,local,C159,11,41,"73,6",lasanha,vegetariano,97,47,12.95,26.61,49,4.4,sabado,13,nublado,,finalizado,
SAB-00017,2025-03-02,São Paulo,SP,ifood,delivery,C48,9,12,28.72,feijao,proteina,20,12,24.87,37.81,87,4.2,quinta,14,chuva,,,
SAB-00018,09-02-2025,São Paulo,sp,local,local,C458,9,9,"29,25",feijao,vegetariano,49,32,10.57,24.25,56,3.4,domingo,15,nublado,,procesado,
SAB-00019,2025-03-24,São Paulo,SP,app,delivery,C346,9,3,27.16,feijao,acompanhamento,95,0,22.7,42.75,23,1.9,segunda,10,nublado,nao,finalizado,
SAB-00020,2025-09-24,São Paulo,SP,local,local,C143,4,56,39.27,frango_grelhado,acompanhamento,108,9,24.17,55.25,75,3.8,sexta,22,nublado,sim,finalizado,
SAB-00021,11/08/2025,São Paulo,SP,app,delivery,C247,4,6,40.39,salada,massa,30,17,9.12,25.77,37,1.9,quinta,12,nublado,sim,procesado,
SAB-00022,2025-08-26,São Paulo,sp,ifood,local,C126,0,39,44.52,lasanha,proteina,62,49,25.56,74.24,81,4.2,quarta,15,sol,,cancelado,
SAB-00023,2025-01-12,São Paulo,sp,local,local,C434,8,42,"41,65",salada,vegetariano,96,24,9.44,20.11,46,4.0,segunda,12,chuva,sim,cancelado,
SAB-00024,2025-09-25,São Paulo,sp,app,local,C108,0,37,"20,53",feijao,vegetariano,47,0,12.74,33.96,65,1.4,quarta,11,chuva,sim,procesado,
SAB-00025,2025-06-13,São Paulo,SP,app,local,C229,4,59,37.77,salada,massa,1000,3,26.34,43.39,79,1.3,sabado,22,nublado,,finalizado,OUTLIER producao
SAB-00026,05/08/2025,São Paulo,sp,app,local,C394,1,53,63.46,arroz,vegetariano,63,4,23.3,45.36,67,2.2,terça,16,chuva,,,
SAB-00027,04/08/2025,São Paulo,sp,local,local,C216,8,6,"42,06",carne_assada,massa,12,3,13.74,34.91,82,4.5,sabado,19,sol,nao,,
SAB-00028,2025-03-28,São Paulo,sp,ifood,delivery,C221,10,28,66.43,carne_assada,proteina,88,58,11.14,26.32,20,4.0,quinta,18,nublado,,finalizado,
SAB-00029,2025-07-18,São Paulo,sp,app,local,C107,5,31,"45,85",carne_assada,acompanhamento,82,47,9.94,24.49,80,3.1,terça,19,nublado,sim,,
SAB-00030,2025-07-09,São Paulo,SP,ifood,delivery,C418,6,10,23.34,carne_assada,massa,106,71,19.15,49.4,32,1.2,sabado,18,sol,nao,,
SAB-00031,2025-03-06,São Paulo,SP,local,delivery,C180,1,40,56.24,feijao,acompanhamento,89,66,25.21,38.59,19,4.2,terça,10,sol,,cancelado,
SAB-00032,2025-05-06,São Paulo,SP,local,local,C62,2,57,"34,99",frango_grelhado,acompanhamento,66,43,21.83,55.81,29,2.4,domingo,12,chuva,sim,finalizado,
SAB-00033,2025-01-23,São Paulo,SP,ifood,delivery,C398,2,8,74.71,lasanha,vegetariano,109,39,17.4,28.11,85,3.6,segunda,13,sol,nao,cancelado,
SAB-00034,04-08-2025,São Paulo,SP,app,delivery,C273,13,36,52.86,arroz,acompanhamento,61,38,17.59,50.75,39,2.9,quarta,18,chuva,nao,finalizado,
SAB-00035,21/01/2025,São Paulo,SP,app,local,C334,1,27,62.05,salada,proteina,45,10,21.34,45.05,68,3.4,quinta,19,nublado,,,
SAB-00036,2025-08-02,São Paulo,SP,app,local,C350,9,44,52.1,feijao,vegetariano,96,84,7.46,11.22,61,3.4,domingo,10,sol,nao,procesado,
SAB-00037,04-27-2025,São Paulo,SP,local,delivery,C79,5,48,28.83,arroz,acompanhamento,17,16,28.05,82.52,26,4.9,segunda,20,sol,nao,cancelado,
SAB-00038,2025-06-10,São Paulo,SP,app,local,C272,7,41,"28,12",arroz,acompanhamento,35,20,8.1,18.75,43,2.1,quinta,16,sol,sim,,
SAB-00039,2025-05-17,São Paulo,SP,ifood,delivery,C150,5,40,60.4,carne_assada,acompanhamento,103,63,21.26,41.91,10,3.9,terça,17,sol,nao,finalizado,
SAB-00040,2025-09-28,São Paulo,SP,ifood,local,C352,1,48,500,salada,proteina,83,15,8.76,21.85,47,2.3,quarta,22,chuva,sim,finalizado,OUTLIER ticket
SAB-00041,2025-10-05,São Paulo,SP,local,delivery,C426,5,5,"65,05",carne_assada,massa,103,81,27.78,59.7,32,2.9,sexta,15,nublado,sim,finalizado,
SAB-00042,2025-10-27,São Paulo,SP,app,delivery,C467,4,20,23.58,carne_assada,proteina,102,90,18.18,32.05,82,3.3,quarta,17,sol,sim,finalizado,
SAB-00043,data_invalida,São Paulo,sp,ifood,delivery,C43,3,26,"78,54",salada,vegetariano,113,76,27.01,64.22,61,2.3,segunda,19,nublado,,finalizado,
SAB-00044,2025-06-05,São Paulo,sp,app,local,C494,4,31,"62,65",arroz,massa,51,2,24.72,40.75,75,1.6,segunda,14,nublado,,cancelado,
SAB-00045,2025-06-11,São Paulo,SP,ifood,delivery,C36,5,30,49.28,arroz,massa,119,80,13.93,33.9,59,4.7,segunda,16,sol,,,
SAB-00046,2025-10-21,São Paulo,sp,ifood,local,C194,6,39,66.95,feijao,acompanhamento,47,22,24.71,54.79,73,4.3,sexta,18,nublado,nao,finalizado,
SAB-00047,16/03/2025,São Paulo,sp,ifood,delivery,C220,2,8,22.33,feijao,acompanhamento,40,23,29.07,82.18,21,2.2,segunda,21,sol,,finalizado,
SAB-00048,2025-03-22,São Paulo,sp,ifood,delivery,C467,8,41,37.31,feijao,vegetariano,98,20,12.23,21.31,56,3.3,sexta,16,nublado,sim,cancelado,
SAB-00049,2025-07-22,São Paulo,SP,app,delivery,C31,1,20,62.61,feijao,massa,28,8,23.25,59.63,27,2.3,segunda,19,chuva,sim,cancelado,
SAB-00050,2025-01-01,São Paulo,SP,app,local,C199,7,21,44.59,frango_grelhado,proteina,117,110,11.91,21.29,77,2.9,quinta,12,nublado,nao,procesado,
SAB-00051,2025-07-30,São Paulo,SP,local,local,C4,4,17,32.37,carne_assada,proteina,100,8,15.65,28.83,89,1.9,sexta,18,sol,,finalizado,
SAB-00052,2025-04-04,São Paulo,SP,app,delivery,C377,5,38,45.5,lasanha,proteina,102,91,22.16,60.3,19,4.6,sabado,20,chuva,sim,finalizado,
SAB-00053,2025-08-04,São Paulo,sp,app,local,C73,5,6,53.72,feijao,massa,55,38,27.97,53.93,40,1.1,sabado,22,sol,,,
SAB-00054,2025-06-27,São Paulo,sp,ifood,local,C216,8,8,20.77,lasanha,vegetariano,111,102,15.38,29.09,52,3.1,sexta,19,nublado,,cancelado,
SAB-00055,2025-05-26,São Paulo,sp,app,delivery,C349,7,7,49.57,salada,acompanhamento,52,34,27.32,56.86,44,9,terça,17,sol,sim,finalizado,INVALIDO avaliacao
SAB-00056,08/05/2025,São Paulo,SP,local,local,C173,6,54,57.67,frango_grelhado,vegetariano,83,60,7.15,14.32,40,2.3,domingo,14,chuva,nao,,
SAB-00057,data_invalida,São Paulo,SP,app,delivery,C479,6,42,74.34,feijao,vegetariano,92,42,19.47,39.59,15,4.5,sexta,16,sol,,procesado,
SAB-00058,2025-07-19,São Paulo,SP,app,local,C282,13,14,42.19,feijao,massa,67,31,28.11,60.36,63,2.6,quinta,17,sol,,,
SAB-00059,2025-05-02,São Paulo,sp,app,local,C24,5,56,"60,53",arroz,acompanhamento,69,10,13.63,40.33,36,4.9,quarta,11,chuva,,cancelado,
SAB-00060,2025-03-14,São Paulo,sp,app,delivery,C125,3,31,51.1,arroz,acompanhamento,29,0,27.04,56.61,55,2.3,terça,12,sol,nao,cancelado,
SAB-00061,2025-08-25,São Paulo,sp,ifood,local,C8,5,37,53.34,arroz,massa,61,50,27.55,81.78,53,1.4,terça,12,chuva,,finalizado,
SAB-00062,2025-09-21,São Paulo,SP,app,local,C451,8,16,26.74,feijao,proteina,27,2,6.94,19.51,61,4.8,terça,10,nublado,nao,finalizado,
SAB-00063,05-30-2025,São Paulo,sp,app,local,C379,8,7,26.0,lasanha,massa,84,0,13.72,26.52,39,1.7,sabado,13,nublado,,cancelado,
SAB-00064,2025-03-20,São Paulo,sp,app,delivery,C387,8,37,78.82,arroz,proteina,51,39,12.55,37.43,72,1.6,sabado,16,chuva,,cancelado,
SAB-00065,2025-10-24,São Paulo,SP,app,delivery,C289,6,3,55.22,salada,vegetariano,15,1,14.92,29.43,34,3.9,segunda,19,nublado,,finalizado,
SAB-00066,2025-02-26,São Paulo,sp,app,delivery,C440,5,7,29.8,carne_assada,massa,15,5,8.55,21.67,38,1.7,sexta,10,chuva,nao,finalizado,
SAB-00067,01-29-2025,São Paulo,sp,ifood,local,C287,0,1,42.39,lasanha,vegetariano,20,2,12.32,22.64,85,4.5,quinta,19,chuva,nao,finalizado,
SAB-00068,2025-05-08,São Paulo,sp,ifood,delivery,C472,3,14,"55,87",salada,proteina,46,4,28.8,68.59,59,1.3,quarta,22,sol,sim,,
