registro_id,data_ocorrencia,cidade,uf,bairro,latitude,longitude,canal_registro,tipo_ocorrencia,tempo_espera_min,tempo_preenchimento_bo_min,atendentes_disponiveis,turno,status_inquerito,tempo_resolucao_dias,bo_online_iniciado,bo_online_concluido,abandono_formulario,avaliacao_atendimento,chamados_190,bo_registrados,prioridade_triagem,status_registro,observacao
DD-00000,2025-06-12,Uberaba,MG,Santa Maria,-19.756224,"-47,934552",presencial,fraude_online,48,26,3,tarde,aberto,61,sim,sim,nao,4.94,49,25,media,procesado,
DD-00001,2025-09-29,Salvador,BA,Planalto,-12.929145,"-38,554132",site,furto,0,4,3,manha,concluido,39,sim,sim,nao,"3,97",2,1,baixa,procesado,
DD-00002,2025-09-28,Campinas,sp,Universitario,-22.967336,-47.029487,app,fraude_online,0,13,4,manha,procesado,2,nao,nao,nao,"4,3",4,3,urgente,cancelado,
DD-00003,2025-09-23,Belo Horizonte,MG,Industrial,-19.889413,"-43,944072",presencial,outros,38,28,2,noite,procesado,0,sim,nao,sim,3.19,42,30,media,procesado,
DD-00004,data_invalida,Uberlândia,mg,Morumbi,-18.902376,"-48,287544",presencial,furto,1,9,4,tarde,,71,nao,nao,nao,2.44,21,12,media,validado,
DD-00005,2025-06-12,Uberlândia,MG,Santa Maria,-18.965905,-48.261261,site,perda_doc,2,2,1,manha,arquivado,38,nao,nao,nao,3.73,44,22,baixa,,
DD-00006,2025-05-27,São Paulo,SP,Jardim America,-23.488292,"-46,59248",site,fraude_online,13,15,5,tarde,,7,sim,sim,nao,1.84,0,0,media,cancelado,
DD-00007,2025-02-10,Curitiba,PR,Centro,-25.380769,-49.225512,presencial,fraude_online,48,28,3,tarde,procesado,103,sim,nao,sim,"3,6",38,15,media,,
DD-00008,24/09/2025,Campinas,SP,Industrial,-22.960127,-47.088568,site,outros,0,29,4,manha,procesado,17,nao,nao,nao,"3,09",32,26,baixa,,
DD-00009,2025-10-06,Uberlândia,MG,Morumbi,-18.978217,-48.255782,site,ameaca,0,15,4,manha,aberto,52,sim,sim,nao,5,34,17,baixa,validado,
DD-00010,05/08/2025,Goiânia,GO,Santa Maria,"-16,755725",-49.309578,site,furto,720,6,2,tarde,concluido,24,sim,sim,nao,3.1,36,17,baixa,validado,OUTLIER espera extrema
DD-00011,2025-09-11,Curitiba,PR,Boa Vista,-25.390231,-49.311711,presencial,fraude_online,52,2,5,manha,concluido,29,sim,nao,sim,2.95,79,38,baixa,procesado,
DD-00012,2025-08-02,Campinas,SP,Santa Maria,-22.917825,-47.097394,site,outros,12,15,5,manha,,69,sim,nao,sim,2.94,21,13,baixa,pendente,
DD-00013,2025-05-14,Curitiba,PR,Jardim America,-25.353749,-49.206148,presencial,perda_documento,27,22,1,manha,concluido,0,nao,nao,nao,3.34,18,12,media,validado,
DD-00014,2025-05-09,uberlândia,MG,Jardim America,"-18,863915","-48,300809",presencial,perda_documento,33,14,5,tarde,aberto,62,sim,sim,nao,4.39,50,36,baixa,procesado,
DD-00015,2025-02-28,Goiânia,GO,Planalto,-16.751607,"-49,272389",presencial,roubo celular,10,24,2,tarde,aberto,46,sim,sim,nao,2.8,31,21,baixa,cancelado,
DD-00016,2025-01-27,Goiânia,GO,Jardim America,-16.648287,-49.240282,presencial,roubo_celular,30,10,1,manha,em_andamento,58,nao,nao,nao,1.51,64,53,baixa,pendente,
DD-00017,2025-01-17,salvador,BA,Planalto,"-12,915492",-38.487755,presencial,perda_documento,15,20,3,noite,arquivado,36,sim,sim,nao,2.31,0,0,urgente,pendente,
DD-00018,15/10/2025,Curitiba,PR,Santa Maria,-25.469294,"-49,231821",site,ameaca,0,32,5,noite,aberto,0,nao,nao,nao,5,35,25,media,validado,
DD-00019,2025-08-03,Curitiba,PR,Industrial,-25.361912,-49.345009,presencial,fraude_online,55,26,3,manha,,117,sim,sim,nao,3.2,42,34,baixa,,
DD-00020,04-23-2025,curitiba,PR,Centro,-25.428519,-49.28467,app,furto,11,29,6,noite,em_andamento,50,nao,nao,nao,3.58,35,24,alta,,
DD-00021,09-01-2025,São Paulo,SP,Morumbi,-23.526073,-46.657956,app,fraude_online,17,18,1,tarde,concluido,21,sim,sim,nao,3.74,37,20,media,procesado,
DD-00022,2025-04-22,Salvador,BA,Centro,-12.944865,-38.468556,app,furto,7,23,3,tarde,concluido,0,sim,sim,nao,"3,39",29,23,media,procesado,
DD-00023,03-07-2025,curitiba,PR,Jardim America,-25.477393,-49.20993,presencial,furto,67,26,5,noite,concluido,44,sim,sim,nao,2.51,33,18,media,validado,
DD-00024,2025-04-29,São Paulo,sp,Santa Maria,-23.520561,-46.603326,presencial,furto,55,24,1,tarde,concluido,60,sim,sim,nao,3.1,42,20,baixa,cancelado,
DD-00025,2025-10-21,são paulo,SP,Industrial,-23.557545,-46.708058,presencial,perda_documento,33,30,2,noite,arquivado,900,nao,nao,nao,4.98,27,15,baixa,cancelado,OUTLIER resolucao muito longa
DD-00026,2025-02-24,São Paulo,SP,Santa Maria,-23.575176,-46.671566,presencial,roubo_celular,58,33,1,tarde,concluido,79,sim,sim,nao,"2,61",57,32,baixa,,
DD-00027,03-13-2025,Uberlândia,MG,Planalto,-18.961438,-48.238575,site,fraude_online,3,26,4,madrugada,aberto,6,sim,nao,sim,4.02,32,23,baixa,,
