registro_id,data_atendimento,cidade,uf,especie,raca,idade_anos,peso_kg,sintomas_texto,prioridade_ia,tempo_espera_min,tempo_atendimento_min,temperatura_corporal_c,frequencia_cardiaca,exames_solicitados,diagnostico_previo,avaliacao_tutor,retorno_7d,historico_microchip,status_atendimento,observacao
FPC-00000,2025-05-30,Uberlândia,MG,cachorro,,7,14.48,letargia,critico,81,17,38.46,149,hemograma,suspeita_infeccao,3.82,sim,sim,finalizado,
FPC-00001,02-23-2025,Curitiba,PR,cachorro,,8,,ferimento na pata,monitorar,32,40,37.84,113,hemograma,alergia,5,NA,SIM,cancelado,
FPC-00002,31/03/2025,Salvador,BA,gato,Siamês,3,6.73,letargia,urgente,9,28,37.13,113,hemograma,NA,3.86,NA,sim,em_atendimento,
FPC-00003,2025-04-20,Salvador,BA,gato,Poodle,8,5.98,NA,monitorar,73,25,38.99,130,hemograma,suspeita_infeccao,3.22,nao,sim,cancelado,
FPC-00004,2025-06-09,Porto Alegre,rs,cachorro,Poodle,5,,dificuldade respiratória,urgente,18,38,39.0,129,raio_x,alergia,2.88,,SIM,em_atendimento,
FPC-00005,2025-10-13,Salvador,BA,cachorro,Poodle,4,5.02,febre alta,monitorar,13,18,"37,33",160,ultrassom,trauma,3.25,,,cancelado,
FPC-00006,data_invalida,Curitiba,PR,cachorro,Labrador,,3.84,NA,monitorar,10,32,38.25,172,NA,trauma,5,nao,sim,cancelado,
FPC-00007,09/04/2025,curitiba,PR,gato,Siamês,2,"16,83",letargia,monitorar,43,17,37.53,131,hemograma,suspeita_infeccao,4.97,nao,,procesado,
FPC-00008,2025-10-22,Salvador,ba,cachorro,Siamês,7,8.77,dificuldade respiratória,critico,0,23,37.85,139,hemograma,NA,5,nao,,em_atendimento,
FPC-00009,16/07/2025,Porto Alegre,RS,cachorro,Labrador,2,6.36,coceira intensa,monitorar,34,22,39.27,164,NA,NA,5,NA,,procesado,
FPC-00010,2025-01-14,São Paulo,sp,cachorro,Poodle,1,9.97,ferimento na pata,monitorar,600,19,36.37,125,nenhum,trauma,1.0,sim,SIM,finalizado,OUTLIER espera extrema
FPC-00011,2025-03-20,campinas,SP,gato,Labrador,5,4.08,coceira intensa,monitorar,63,18,"39,4",60,raio_x,NA,5,NA,SIM,finalizado,
FPC-00012,2025-07-18,Goiânia,go,cachorro,SRD,5,13.99,coceira intensa,urgente,51,11,39.62,146,ultrassom,trauma,4.76,,nao,procesado,
FPC-00013,16/03/2025,Uberlândia,MG,gato,Siamês,5,25.13,dificuldade respiratória,critico,63,32,"39,09",101,hemograma,trauma,5,NA,,procesado,
FPC-00014,2025-10-28,Campinas,SP,gato,,6,1.5,NA,monitorar,54,22,39.68,126,ultrassom,NA,3.51,sim,sim,finalizado,
FPC-00015,2025-04-04,Uberlândia,MG,gato,Labrador,4,7.68,vômito e apatia,monitorar,42,23,38.43,146,NA,trauma,2.36,nao,sim,procesado,
FPC-00016,2025-04-19,Uberlândia,mg,cachorro,,6,"22,89",letargia,urgente,0,13,"37,12",147,ultrassom,alergia,4.24,,SIM,em_atendimento,
FPC-00017,2025-08-31,Curitiba,PR,gato,Labrador,,20.52,dificuldade respiratória,monitorar,28,35,38.09,115,hemograma,suspeita_infeccao,4.32,sim,sim,finalizado,
FPC-00018,2025-07-22,São Paulo,SP,cachorro,,3,"15,03",coceira intensa,monitorar,17,21,37.44,60,hemograma,trauma,2.12,sim,,em_atendimento,
FPC-00019,2025-08-15,Porto Alegre,RS,gato,,8,10.35,,urgente,58,14,38.29,126,nenhum,,5,NA,SIM,finalizado,
FPC-00020,2025-05-02,goiânia,GO,cachorro,Labrador,3,7.14,letargia,monitorar,25,36,36.99,105,NA,trauma,3.21,nao,,cancelado,
FPC-00021,2025-06-28,Porto Alegre,RS,gato,Poodle,9,19.66,coceira intensa,monitorar,62,24,37.65,116,raio_x,,5,sim,SIM,em_atendimento,
FPC-00022,2025-07-30,Uberaba,mg,cachorro,,2,16.37,febre alta,critico,43,32,36.98,113,ultrassom,trauma,4.79,NA,nao,cancelado,
FPC-00023,2025-06-18,Porto Alegre,rs,gato,SRD,9,5.67,febre alta,monitorar,47,25,40.07,70,NA,,4.26,sim,,procesado,
