registro_id,data,ativo,setor,preco,volume,pl,roe,dy,volatilidade,perfil_usuario,rentabilidade_usuario,benchmark_ibov,taxa_operacao,recomendacao_ia,status_operacao,observacao
INV-00000,2025-05-16,WEGE3,varejo,61.36,350930,8.01,21.3,9.72,4.38,conservador,5.45,1.82,4.65,comprar,pendente,
INV-00001,2025-02-03,ITUB4,industria,159.65,373481,9.5,22.76,0.03,4.78,conservador,-19.85,-5.49,4.67,comprar,procesado,
INV-00002,2025-10-05,ITUB4,varejo,106.95,236098,14.64,28.56,6.47,4.27,conservador,3.47,-5.67,4.12,manter,cancelado,
INV-00003,2025-02-25,ABEV3,mineracao,"136,67",443428,14.37,23.7,9.11,3.0,agressivo,-10.64,-7.37,2.29,comprar,cancelado,
INV-00004,2025-08-29,ABEV3,mineracao,"40,56",150359,7.36,11.98,2.93,4.98,agressivo,2.26,-6.01,1.95,compra,procesado,
INV-00005,2025-05-31,BBDC4,energia,55.47,75098,11.04,6.79,3.49,2.95,conservador,3.45,-1.1,0.76,compra,procesado,
INV-00006,01-16-2025,ITUB4,banco,177.51,261387,7.37,9.56,6.05,4.19,conservador,-1.07,-2.49,3.26,compra,pendente,
INV-00007,2025-03-11,PETR4,energia,59.2,443434,8.36,20.01,4.48,3.75,moderado,-18.14,-2.97,0.73,vend,cancelado,
INV-00008,2025-03-01,VALE3,energia,195.8,101527,14.1,28.47,8.48,2.24,agressivo,14.07,2.41,4.39,comprar,executado,
INV-00009,2025-06-16,PETR4,varejo,57.52,165575,5.95,23.69,0.92,2.01,conservador,24.94,7.54,0.22,comprar,cancelado,
INV-00010,2025-03-30,BBDC4,banco,9999.99,152513,16.42,28.42,1.02,3.45,conservador,-11.99,12.16,3.37,vend,pendente,OUTLIER preco
INV-00011,2025-08-13,WEGE3,industria,132.46,9413,36.82,22.52,9.88,4.05,conservador,3.99,-2.63,1.34,compra,procesado,
INV-00012,2025-08-15,VALE3,energia,32.52,117065,13.91,29.2,2.8,1.77,conservador,3.68,-9.89,0.4,vend,executado,
INV-00013,2025-09-23,ABEV3,industria,86.21,279130,33.33,10.86,8.49,3.2,conservador,-18.91,-6.01,1.88,venda,executado,
INV-00014,2025-04-14,WEGE3,banco,24.41,451143,34.92,16.97,7.18,0.65,conservador,12.65,13.52,3.14,vend,procesado,
INV-00015,2025-09-26,PETR4,banco,149.14,184627,38.01,13.12,6.88,2.97,conservador,18.22,-3.24,0.18,compra,cancelado,
INV-00016,12/03/2025,PETR4,mineracao,20.1,188161,29.66,27.55,8.1,1.73,moderado,9.37,12.96,0.05,venda,procesado,
INV-00017,2025-02-24,ABEV3,mineracao,"189,43",247367,24.68,16.37,9.26,4.01,conservador,5.25,13.84,3.33,manter,executado,
