registro_id,data_matricula,data_cancelamento,idade,plano,frequencia_semanal,tempo_permanencia_meses,horario_entrada,dia_semana,tempo_treino_min,equipamento,uso_equipamento_min,capacidade_max,status_aluno,observacao
LIFT-00000,2025-05-09,09-20-2024,66,mensal,1,8,10,sábado,56,leg_press,10,100,procesado,
LIFT-00001,2024-08-22,,17,mensal,4,1,8,quinta,60,halteres,28,100,cancelado,
LIFT-00002,2025-05-15,,25,mensal,5,1,12,terça,48,halteres,11,100,,
LIFT-00003,2024-10-25,2024-03-12,18,mensal,0,1,7,terça,70,esteira,23,100,,
LIFT-00004,2025-05-12,,52,mensal,0,6,22,quinta,44,bike,31,100,,
LIFT-00005,2024-10-30,2024-03-13,49,mensal,1,2,19,quinta,46,halteres,39,100,procesado,
LIFT-00006,2024-02-28,2024-02-23,46,mensal,0,9,21,sexta,72,NA,11,100,,
LIFT-00007,data_invalida,,70,mensal,0,14,18,quarta,39,esteira,44,100,cancelado,
LIFT-00008,2024-01-11,2024-12-19,66,mensal,4,3,16,quarta,81,bike,18,100,,
LIFT-00009,05-14-2025,2025-03-26,69,mensal,6,2,11,quarta,66,NA,27,100,,
LIFT-00010,2024-12-12,2024-01-21,64,mensal,20,4,22,terça,76,bike,5,100,cancelado,OUTLIER frequencia
LIFT-00011,25/01/2025,03-23-2024,26,mensal,5,7,19,quarta,95,,20,100,cancelado,
LIFT-00012,2024-12-26,,34,mensal,0,6,5,quinta,73,bike,32,100,cancelado,
LIFT-00013,2024-06-06,2024-06-03,57,mensal,0,9,5,sexta,54,supino,5,100,procesado,
LIFT-00014,2024-05-12,,40,mensal,3,4,10,domingo,40,bike,21,100,ativo,
LIFT-00015,2024-12-21,,52,mensal,4,1,16,domingo,68,esteira,19,100,,
LIFT-00016,2024-05-06,,46,mensal,1,3,11,segunda,88,supino,6,100,,
LIFT-00017,26/12/2024,,25,anual,3,1,11,quinta,65,leg_press,20,100,,
LIFT-00018,2024-08-23,,53,mensal,1,4,6,terça,72,,36,100,ativo,
LIFT-00019,2025-02-14,,16,mensal,2,11,23,sábado,68,leg_press,55,100,procesado,
LIFT-00020,2025-03-13,2025-05-06,69,mensal,5,3,10,quarta,30,supino,5,100,cancelado,
LIFT-00021,2024-02-03,2024-06-01,19,anual,1,3,5,quarta,40,leg_press,21,100,,
LIFT-00022,2024-06-29,2024-02-24,58,mensal,0,6,20,terça,57,crossfit,23,100,cancelado,
LIFT-00023,2025-03-11,,30,mensal,0,4,12,quarta,22,esteira,31,100,ativo,
LIFT-00024,17/02/2025,2024-01-16,29,anual,2,10,18,quinta,44,bike,10,100,procesado,
LIFT-00025,2024-01-26,,70,mensal,1,2,22,sexta,300,halteres,40,100,,OUTLIER treino longo
LIFT-00026,01-15-2024,2025-04-23,42,anual,2,8,18,sexta,52,halteres,9,100,cancelado,
LIFT-00027,2025-03-02,2024-05-04,35,mensal,5,1,9,quinta,76,esteira,35,100,ativo,
LIFT-00028,2024-06-16,03/02/2024,50,anual,2,1,10,segunda,51,crossfit,8,100,,
LIFT-00029,04-22-2025,,22,mensal,1,9,19,quarta,44,bike,30,100,cancelado,
LIFT-00030,2024-01-30,2024-03-21,62,mensal,0,5,18,sexta,95,bike,7,100,,
LIFT-00031,2024-06-30,,38,mensal,0,7,17,segunda,68,,15,100,,
LIFT-00032,2025-01-04,2024-06-21,47,mensal,7,5,8,domingo,65,bike,7,100,procesado,
LIFT-00033,2024-10-08,2025-01-10,46,mensal,4,3,14,sábado,40,bike,8,100,procesado,
LIFT-00034,2025-03-11,,49,mensal,2,8,20,domingo,35,NA,23,100,procesado,
LIFT-00035,data_invalida,,49,anual,0,1,6,quarta,75,bike,5,100,cancelado,
LIFT-00036,2024-07-08,,67,mensal,2,3,22,sábado,43,NA,10,100,ativo,
