pedido_id,cliente_id,data_pedido,cidade,uf,regiao,latitude,longitude,canal_venda,categoria_produto,produto,quantidade,preco_unitario,preco_concorrente,desconto_pct,valor_total,forma_pagamento,cupom_promocional,pedido_delivery,distancia_km,tempo_entrega_min,status_delivery,avaliacao_delivery,participa_fidelidade,compras_ultimos_90d,dias_desde_ultima_compra,nps_cliente,status_pedido,observacao
PED-00001,CLI-0082,2025-12-13,Goiânia,GO,Centro-Oeste,,-49.23,delivery,medicamento,Paracetamol 750mg,1,44.54,44.52,25.00,33.40,cartao credito,cupom_10,sim,1.37,8,entregue,4.40,nao,4,39,7,concluido,
PED-00002,CLI-0382,,Ribeirão Preto,SP,Sudeste,-21.14,-47.86,delivery,medicamento,Soro Fisiologico,1,64.47,57.22,25.00,48.35,cartao_credito,leve_3_pague_2,sim,4.23,78,atrasado,3.10,nao,3,149,2,concluido,
PED-00003,CLI-0414,20/03/2025,Fortaleza,CE,Nordeste,-3.79,-38.51,loja_fisica,vitamina_suplemento,Colageno,1,167.37,143.23,0.00,167.37,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,sim,2,145,6,concluido,
PED-00004,CLI-0338,2025-12-09,Uberlândia,MG,Sudeste,-18.98,"-48,35",loja_fisica,medicamento,Omeprazol 20mg,1,44.13,41.93,0.00,,dinheiro,sem_promocao,nao,,,nao_aplicavel,,sim,4,119,NA,concluido,cliente reclamou do atraso
PED-00005,CLI-0258,2025-12-23,Belo Horizonte,MG,Sudeste,-20.00,-43.95,loja_fisica,bem_estar,Alcool Gel,5,124.78,104.60,0.00,623.88,pix,sem_promocao,nao,,,nao_aplicavel,,sim,5,14,8,concluido,
PED-00006,CLI-0054,2025-07-09,Uberaba,MG,Sudeste,-19.75,-20.00,app,medicamento,Dipirona 500mg,1,37.36,38.62,,37.36,dinheiro,sem promocao,nao,,,nao_aplicavel,,sim,2,29,7,concluido,
PED-00007,CLI-0084,21/01/2025,Belo Horizonte,MG,Sudeste,-19.90,"-43,99",loja_fisica,medicamento,Ibuprofeno 400mg,3,53.70,56.91,10.00,144.99,cartao credito,leve_3_pague_2,nao,,,nao_aplicavel,,nao,8,105,6,concluido,
PED-00008,CLI-0267,11-02-2025,Recife,PE,Nordeste,"-7,97",-34.93,loja_fisica,bem_estar,Mascara Facial,1,92.12,83.05,5.00,87.51,pix,cupom_10,nao,,,nao_aplicavel,,nao,5,171,5,concluido,
PED-00009,CLI-0213,03-28-2025,Uberlândia,MG,Sudeste,-18.92,-48.28,delivery,medicamento,Loratadina 10mg,1,27.01,24.83,"10,00","24,31",pix,delivery_gratis,sim,1.48,8,entregue,5.00,nao,5,178,6,concluido,
PED-00010,CLI-0213,14/08/2025,Recife,pe,Nordeste,-8.03,-34.83,loja_fisica,higiene,Fio Dental,1,20.04,20.89,5.00,19.04,pix,cupom_10,nao,,,nao_aplicavel,,nao,5,106,7,concluido,
PED-00011,CLI-0195,,Recife,PE,Nordeste,-8.05,-34.94,app,higiene,Sabonete Liquido,250,89.90,33.60,NA,22475.00,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,11,107,7,concluido,OUTLIER: compra corporativa ou erro de quantidade
PED-00012,CLI-0178,12/04/2025,Uberaba,MG,Sudeste,-19.68,-47.93,loja_fisica,vitamina_suplemento,Whey Protein,1,144.73,124.29,5.00,137.50,pix,cashback,nao,,,nao_aplicavel,,nao,6,17,7,concluido,
PED-00013,CLI-0209,2025-04-19,São Paulo,SP,Sudeste,-23.52,-46.66,loja_fisica,higiene,Creme Dental,1,20.42,18.00,0.00,20.42,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,7,176,4,concluido,
PED-00014,CLI-0059,2025-03-06,Salvador,BA,Nordeste,"-13,03",-38.55,delivery,medicamento,Dipirona 500mg,1,73.28,80.55,0.00,0.00,cartao_credito,sem_promocao,sim,2.53,16,cancelado,"5,00",nao,4,18,10,cancelado,
PED-00015,CLI-0384,2025-05-16,Uberlândia,mg,Sudeste,-18.88,-48.24,loja_fisica,medicamento,Soro Fisiologico,3,36.48,31.85,0.00,109.45,pix,sem_promocao,nao,,,nao_aplicavel,,N,10,112,5,concluido,
PED-00016,CLI-0388,05-28-2025,Uberlândia,MG,Sudeste,"-18,94",-48.34,delivery,medicamento,Loratadina 10mg,1,34.83,37.17,"5,00",33.09,cartao_debito,delivery_gratis,sim,"3,24",16,entregue,5.00,nao,4,13,8,concluido,
PED-00017,CLI-0123,2025-09-17,Recife,PE,Nordeste,-8.12,-34.83,app,vitamina_suplemento,Omega 3,,114.89,110.63,0.00,114.89,cartao_credito,sem_promocao,sim,5.54,26,em_rota,5.00,nao,3,105,6,concluido,
PED-00018,CLI-0086,2025-02-05,Uberlândia,MG,Sudeste,-18.89,-48.21,loja_fisica,higiene,Absorvente,1,20.79,21.74,0.00,20.79,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,10,11,1,concluido,
PED-00019,CLI-0398,02-24-2025,Goiânia,GO,Centro-Oeste,-16.73,-49.21,delivery,medicamento,Loratadina 10mg,1,46.32,42.05,"0,00",46.32,cartao_debito,sem_promocao,sim,5.28,86,atrasado,2.70,nao,6,90,4,concluido,
PED-00020,CLI-0318,10-02-2025,Belém,PA,Norte,"-1,40",-48.48,loja_fisica,medicamento,Loratadina 10mg,1,32.70,"33,87",0.00,32.70,pix,sem_promocao,nao,,,nao_aplicavel,,nao,5,156,6,concluido,cupom nao aplicado
PED-00021,CLI-0011,2025-11-27,Belo Horizonte,MG,Sudeste,-19.84,"-43,88",loja_fisica,medicamneto,Soro Fisiologico,1,34.68,35.55,"0,00",34.68,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,NA,116,6,concluido,
PED-00022,CLI-0312,2025-08-23,Belo Horizonte,MG,Sudeste,-19.92,-43.86,loja_fisica,medicamento,Soro Fisiologico,1,10.09,9.70,12.00,8.88,cartao_credito,leve_3_pague_2,nao,,,nao_aplicavel,,nao,1,63,8,concluido,
PED-00023,CLI-0308,12/10/2025,Salvador,BA,Nordeste,15.00,-38.51,delivery,beleza,Esmalte,1,85.35,81.54,5.00,NA,cartao_debito,leve_3_pague_2,nao,,,nao_aplicavel,,nao,2,129,6,concluido,
PED-00024,CLI-0213,2025-06-16,Brasília,DF,Centro-Oeste,-15.79,-47.90,loja fisica,medicamento,Paracetamol 750mg,2,"67,18",64.21,0.00,NA,pix,sem_promocao,nao,,,nao_aplicavel,,nao,7,29,3,concluido,
PED-00025,CLI-0224,2025-02-28,Recife,PE,Nordeste,-8.08,-34.89,loja_fisica,medicamento,Soro Fisiologico,1,"72,74",69.81,0.00,"72,74",dinheiro,sem promocao,nao,,,nao_aplicavel,,sim,5,101,6,concluido,
