registro_id,data_pedido,cidade,uf,cliente_id,loja_id,canal,categoria_principal,quantidade_itens,produtos_indisponiveis,funcionarios_disponiveis,volume_pedidos_simultaneos,horario_pedido,periodo_pico,tipo_produto,tempo_separacao_min,tempo_entrega_estimado_min,tempo_entrega_real_min,valor_pedido,cupom_utilizado,avaliacao_cliente,cancelado,motivo_cancelamento,frequencia_compra_mes,dias_desde_ultima_compra,status_pedido,observacao
FM-00000,2025-05-08,Uberaba,MG,C121,L49,app,limpeza,5,0,3,9,10,nao,perecivel,6,35,58,"127,81",nao,"2,8",sim,cliente_desistiu,4,56,em_rota,
FM-00001,2025-01-10,salvador,BA,C44,L19,app,limpeza,7,0,4,16,20,sim,nao_perecivel,9,50,63,"110,19",,2.9,sim,valor_frete,3,89,cancelado,
FM-00002,2025-04-06,Uberlândia,MG,C436,L10,app,conveniencia,1,2,4,15,15,nao,nao_perecivel,7,50,42,"39,88",,"3,4",nao,,4,67,,
FM-00003,2025-01-27,salvador,BA,C222,L37,app,limpeza,15,0,5,19,13,nao,nao_perecivel,22,45,32,"106,13",,4.4,sim,atraso,6,4,em_rota,
FM-00004,01-14-2025,uberaba,MG,C121,L42,app,hortifruti,23,0,4,28,21,nao,perecivel,66,50,47,131.64,nao,3.6,nao,,4,90,em_rota,
FM-00005,2025-04-14,Salvador,BA,C166,L21,app,bebidas,12,0,6,37,14,nao,perecivel,36,50,108,194.4,sim,1.7,nao,,11,76,em_rota,
FM-00006,2025-03-07,Goiânia,GO,C396,L6,web,conveniencia,16,3,2,39,7,nao,nao_perecivel,50,40,26,15,nao,4.3,nao,,2,39,,
FM-00007,2025-08-26,Uberlândia,MG,C419,L54,web,hortifruti,10,0,5,17,11,sim,nao_perecivel,,30,36,43.39,nao,"1,4",nao,,3,58,em_rota,
FM-00008,2025-08-05,Salvador,BA,C354,L44,app,bebidas,10,1,1,7,23,nao,nao_perecivel,15,40,10,114.24,nao,2.7,nao,,0,44,procesado,
FM-00009,24/06/2025,São Paulo,SP,C222,L30,app,bebidas,12,0,3,19,22,nao,nao perecivel,32,50,49,173.95,,3.4,nao,,9,90,em_rota,
FM-00010,2025-03-23,Uberaba,mg,C459,L47,web,mercearia,9,2,5,50,22,nao,perecivel,300,50,64,94.84,,1.4,sim,erro_pagamento,5,11,,OUTLIER tempo de separacao
FM-00011,2025-05-04,Uberaba,MG,C159,L30,app,conveniencia,5,1,3,44,22,nao,perecivel,33,30,33,62.67,sim,2.2,nao,,0,90,,
FM-00012,2025-06-04,São Paulo,SP,C291,L56,web,hortifruti,11,0,5,29,19,sim,nao_perecivel,40,45,57,92.9,,4.7,sim,atraso,9,55,cancelado,
FM-00013,2025-03-07,Curitiba,pr,C198,L51,app,limpeza,10,0,3,8,23,nao,perecivel,17,30,58,118.16,sim,3.0,nao,,0,19,procesado,
FM-00014,2025-09-02,Campinas,SP,C177,L44,web,limpeza,22,1,7,19,18,sim,nao_perecivel,61,45,54,172.74,,"2,3",nao,,0,88,entregue,
FM-00015,data_invalida,São Paulo,SP,C75,L29,web,mercearia,4,0,6,21,23,nao,perecivel,10,45,80,"148,49",,3.0,sim,erro_pagamento,6,69,entregue,
FM-00016,2025-10-14,Goiânia,GO,C511,L28,app,bebidas,17,2,3,8,16,nao,perecivel,37,30,53,184.15,,3.2,nao,,7,28,em_rota,
FM-00017,2025-09-14,Goiânia,GO,C392,L60,app,hortifruti,20,0,3,35,18,sim,nao perecivel,57,40,32,"106,22",sim,5,nao,,3,9,entregue,
FM-00018,19/09/2025,uberlândia,MG,C436,L54,app,conveniencia,19,3,2,21,16,nao,perecivel,41,45,45,140.83,nao,2.8,nao,,3,71,entregue,
FM-00019,2025-02-12,Goiânia,GO,C393,L9,app,mercearia,16,0,7,16,22,nao,perecivel,22,30,36,95.13,,1.9,nao,,0,11,entregue,
FM-00020,2025-04-16,São Paulo,SP,C453,L8,app,conveniencia,1,1,4,22,13,nao,nao_perecivel,12,35,10,123.34,sim,3.9,nao,,3,47,cancelado,
FM-00021,07-04-2025,Salvador,BA,C307,L41,app,horti fruti,11,1,2,14,18,sim,perecivel,27,30,29,"64,23",,5,nao,,3,43,,
FM-00022,2025-08-21,Uberaba,MG,C267,L15,app,mercearia,11,2,3,20,21,nao,nao_perecivel,32,45,58,76.6,,2.9,nao,,5,88,procesado,
FM-00023,2025-01-06,são paulo,SP,C341,L43,app,bebidas,5,2,6,27,8,nao,nao_perecivel,10,30,28,218.77,sim,3.8,nao,,3,65,,
FM-00024,2025-06-26,Uberlândia,MG,C487,L24,app,hortifruti,20,2,2,32,23,nao,perecivel,51,50,60,59.1,nao,"3,4",nao,,10,42,cancelado,
FM-00025,2025-05-30,Curitiba,PR,C255,L53,app,hortifruti,13,1,4,2,19,sim,nao_perecivel,29,50,480,117.1,sim,2.7,nao,,4,68,cancelado,OUTLIER tempo de entrega
FM-00026,2025-09-03,Goiânia,GO,C22,L13,app,limpeza,20,1,6,12,17,nao,nao_perecivel,36,35,39,114.57,sim,5,nao,,7,60,em_rota,
FM-00027,10/06/2025,Uberaba,MG,C56,L19,app,hortifruti,7,0,6,23,23,nao,perecivel,16,50,62,161.49,nao,4.2,nao,,8,34,cancelado,
FM-00028,04-18-2025,Uberaba,MG,C204,L44,app,conveniencia,3,1,1,19,15,nao,perecivel,15,35,23,"103,66",nao,5,nao,,11,43,cancelado,
FM-00029,2025-08-14,Curitiba,PR,C163,L58,app,mercearia,17,0,4,25,19,sim,perecivel,60,30,34,"192,44",nao,3.1,sim,valor_frete,8,34,procesado,
FM-00030,2025-10-18,uberaba,MG,C63,L5,app,bebidas,17,4,2,1,14,nao,perecivel,41,35,36,"111,41",,3.7,sim,cliente_desistiu,7,20,cancelado,
FM-00031,data_invalida,Goiânia,GO,C187,L4,app,conveniência,19,1,3,19,12,sim,perecivel,32,35,79,134.88,nao,2.6,nao,,7,58,cancelado,
FM-00032,2025-07-09,São Paulo,SP,C118,L12,app,limpeza,9,0,1,25,10,nao,perecivel,37,40,39,232.14,,4.3,sim,atraso,0,41,em_rota,
FM-00033,2025-05-18,Salvador,ba,C412,L10,app,hortifruti,12,1,7,7,8,nao,nao_perecivel,18,40,64,123.58,sim,3.1,nao,,9,58,cancelado,
FM-00034,28/06/2025,Salvador,BA,C368,L12,app,hortifruti,15,1,3,12,15,nao,nao_perecivel,36,40,62,"21,85",nao,2.5,nao,,9,46,cancelado,
FM-00035,21/06/2025,Salvador,BA,C77,L40,app,mercearia,4,1,4,10,23,nao,perecivel,10,50,75,94.77,nao,3.7,sim,valor_frete,5,87,em_rota,
FM-00036,2025-09-17,Uberlândia,MG,C70,L38,app,hortifruti,7,1,3,9,20,sim,nao_perecivel,16,50,57,138.06,,2.6,sim,cliente_desistiu,9,10,cancelado,
FM-00037,2025-05-18,Curitiba,PR,C380,L16,app,bebidas,17,0,4,1,10,nao,nao_perecivel,31,50,39,41.46,nao,2.5,nao,,12,53,,
FM-00038,2025-02-10,São Paulo,SP,C73,L43,app,mercearia,1,0,6,30,12,sim,perecivel,13,30,51,67.45,,3.0,nao,,9,25,,
FM-00039,data_invalida,Goiânia,GO,C32,L55,app,bebidas,7,1,1,12,11,sim,nao_perecivel,14,45,68,"61,2",,"4,0",nao,,0,23,entregue,
FM-00040,2025-01-12,Uberaba,MG,C198,L10,web,conveniencia,300,0,3,17,13,nao,perecivel,31,50,78,"119,52",sim,2.3,nao,,2,5,procesado,OUTLIER quantidade de itens
FM-00041,08-03-2025,Curitiba,PR,C344,L54,app,hortifruti,6,3,4,0,14,nao,perecivel,10,30,44,142.68,sim,2.7,nao,,5,16,entregue,
FM-00042,2025-03-19,Goiânia,GO,C497,L56,app,limpeza,18,1,3,10,10,nao,nao_perecivel,29,40,30,167.58,sim,3.8,nao,,0,70,em_rota,
FM-00043,2025-04-13,Curitiba,PR,C490,L47,app,hortifruti,19,2,3,24,17,nao,nao_perecivel,57,45,62,98.6,sim,2.5,sim,atraso,5,70,,
FM-00044,data_invalida,Uberlândia,MG,C400,L13,app,limpeza,3,3,4,33,20,sim,perecivel,,40,66,127.32,nao,3.8,nao,,7,4,procesado,
FM-00045,2025-08-08,Salvador,ba,C325,L12,app,limpeza,23,2,6,13,7,nao,nao_perecivel,41,35,36,"62,5",nao,2.1,nao,,5,88,cancelado,
FM-00046,2025-09-06,Curitiba,PR,C440,L5,web,hortifruti,10,1,2,12,23,nao,nao_perecivel,16,35,48,"156,54",,5,nao,,8,1,procesado,
FM-00047,2025-06-07,Uberlândia,MG,C68,L15,app,bebidas,18,0,4,1,10,nao,nao_perecivel,,40,30,100.54,sim,4.8,nao,,5,45,procesado,
FM-00048,2025-09-12,salvador,BA,C421,L40,app,hortifruti,5,1,4,30,20,sim,perecivel,23,45,65,167.13,nao,4.1,nao,,11,19,procesado,
FM-00049,2025-06-24,Salvador,BA,C4,L40,app,mercearia,11,2,1,8,23,nao,nao_perecivel,20,45,61,35.34,nao,2.9,nao,,9,59,em_rota,
FM-00050,2025-05-20,São Paulo,SP,C7,L46,app,bebidas,10,0,4,39,12,sim,nao_perecivel,29,35,52,120.4,,4.5,nao,,4,85,cancelado,
FM-00051,2025-03-16,Uberaba,MG,C88,L17,app,hortifruti,16,1,5,29,13,nao,nao_perecivel,30,35,10,157.03,,3.8,nao,,10,33,em_rota,
FM-00052,2025-05-04,Uberaba,MG,C345,L30,web,conveniencia,1,0,3,20,14,nao,nao_perecivel,9,30,19,115.07,nao,5,nao,,5,64,procesado,
FM-00053,2025-01-15,Campinas,SP,C500,L59,web,bebidas,19,1,5,19,11,sim,nao_perecivel,38,40,30,123.89,sim,4.8,nao,,3,41,em_rota,
FM-00054,2025-08-21,Campinas,SP,C279,L17,app,mercearia,5,2,3,11,22,nao,perecivel,11,30,31,154.0,nao,3.8,sim,erro_pagamento,0,33,cancelado,
FM-00055,2025-05-10,São Paulo,SP,C462,L23,app,limpeza,13,2,0,30,8,nao,nao_perecivel,21,35,10,73.79,sim,5,nao,,4,90,,VALOR INVALIDO nenhum funcionario
FM-00056,data_invalida,Curitiba,pr,C448,L50,app,bebidas,7,1,5,17,21,nao,perecivel,18,35,63,98.75,,2.7,sim,erro_pagamento,8,32,cancelado,
FM-00057,16/04/2025,Goiânia,GO,C5,L30,app,limpeza,16,0,4,7,20,sim,nao_perecivel,40,40,69,114.19,,2.9,nao,,7,25,procesado,
FM-00058,2025-04-22,São Paulo,SP,C541,L42,app,bebidas,18,1,2,7,21,nao,nao_perecivel,31,45,55,118.27,,1,nao,,5,85,entregue,
FM-00059,2025-06-21,São Paulo,SP,C446,L42,web,bebidas,15,1,5,12,14,nao,perecivel,31,50,43,118.51,sim,3.1,nao,,0,76,em_rota,
FM-00060,2025-09-18,Curitiba,PR,C111,L37,app,bebidas,1,0,5,28,7,nao,perecivel,6,45,39,"191,99",,5,nao,,6,38,cancelado,
FM-00061,25/08/2025,Campinas,SP,C153,L54,web,hortifruti,4,1,3,8,16,nao,nao_perecivel,6,40,47,"156,34",nao,2.6,nao,,7,15,,
FM-00062,2025-09-16,Salvador,BA,C462,L6,web,mercearia,5,2,3,31,10,nao,perecivel,12,30,59,"150,01",nao,3.2,sim,produto_indisponivel,2,67,entregue,
FM-00063,2025-06-25,Uberlândia,MG,C113,L12,app,conveniencia,20,0,5,27,17,nao,perecivel,53,45,34,88.98,sim,5,nao,,11,88,,
FM-00064,2025-07-21,goiânia,GO,C502,L31,app,conveniencia,7,1,1,20,14,nao,perecivel,21,45,40,"151,54",sim,4.3,nao,,0,87,em_rota,
FM-00065,2025-05-28,Uberaba,MG,C550,L31,web,mercearia,21,0,8,0,14,nao,nao_perecivel,16,40,38,159.93,,3.8,nao,,8,73,entregue,
FM-00066,2025-04-19,Campinas,SP,C229,L41,web,mercearia,14,2,6,15,12,sim,perecivel,23,40,39,158.12,nao,1.9,nao,,9,37,cancelado,
FM-00067,2025-04-06,Campinas,SP,C131,L31,app,mercearia,11,0,1,16,20,sim,perecivel,34,45,17,"109,04",,"4,5",nao,,0,21,em_rota,
FM-00068,2025-07-08,Campinas,SP,C151,L13,app,hortifruti,7,0,1,10,8,nao,nao_perecivel,14,30,45,"112,15",sim,"4,1",nao,,3,62,cancelado,
FM-00069,2025-01-27,são paulo,SP,C18,L50,app,limpeza,1,0,7,34,13,nao,perecivel,7,30,38,90.42,sim,"1,7",sim,erro_pagamento,2,62,em_rota,
FM-00070,2025-06-28,Curitiba,PR,C340,L42,app,mercearia,7,2,4,0,9,nao,nao_perecivel,6,40,31,214.5,,9,nao,,0,2,cancelado,VALOR INVALIDO avaliacao
FM-00071,2025-07-06,Campinas,SP,C179,L46,app,conveniencia,7,2,1,6,17,nao,nao_perecivel,19,50,49,"184,17",sim,3.5,nao,,7,67,em_rota,
FM-00072,02-19-2025,Curitiba,PR,C407,L46,app,mercearia,13,1,3,10,12,sim,perecivel,31,30,11,19.83,nao,3.5,sim,erro_pagamento,13,75,,
FM-00073,2025-08-14,Uberlândia,MG,C67,L2,app,conveniencia,10,3,3,25,12,sim,nao_perecivel,27,40,52,"143,44",sim,3.4,sim,erro_pagamento,11,80,procesado,
FM-00074,13/08/2025,Uberlândia,MG,C417,L37,app,bebidas,14,2,5,19,21,nao,nao_perecivel,38,50,39,192.47,sim,3.9,nao,,0,80,,
FM-00075,2025-06-01,Salvador,BA,C4,L6,web,bebidas,1,0,1,21,19,sim,nao perecivel,11,40,28,89.08,sim,5,nao,,3,17,procesado,
FM-00076,2025-08-01,Uberlândia,MG,C354,L30,app,hortifruti,22,4,1,17,16,nao,perecivel,49,30,37,21.4,nao,3.7,nao,,4,75,cancelado,
FM-00077,2025-03-10,Curitiba,PR,C39,L33,app,bebidas,15,2,4,9,7,nao,perecivel,23,40,52,151.19,,4.1,nao,,10,22,entregue,
FM-00078,05/02/2025,Curitiba,PR,C495,L52,app,hortifruti,20,2,7,16,12,sim,perecivel,37,50,30,15,nao,4.9,sim,produto_indisponivel,7,73,em_rota,
FM-00079,2025-07-12,Campinas,SP,C371,L2,app,conveniencia,4,2,1,21,23,nao,nao_perecivel,18,45,90,114.36,nao,3.7,nao,,12,68,entregue,
FM-00080,2025-06-17,Salvador,BA,C494,L29,app,conveniência,15,1,1,5,17,nao,nao perecivel,40,50,19,113.29,,4.0,nao,,13,13,entregue,
FM-00081,2025-01-23,Uberlândia,MG,C218,L27,web,hortifruti,7,0,6,9,8,nao,nao_perecivel,11,45,41,120.5,nao,4.5,nao,,7,81,em_rota,
FM-00082,2025-06-25,Curitiba,PR,C422,L23,app,hortifruti,11,2,6,21,7,nao,perecivel,20,50,53,"183,71",sim,5,nao,,7,89,,
FM-00083,2025-08-05,Uberlândia,MG,C371,L58,app,mercearia,1,0,6,33,9,nao,nao_perecivel,8,50,73,117.94,nao,2.2,nao,,4,58,cancelado,
FM-00084,2025-01-25,Uberaba,MG,C76,L44,app,hortifruti,11,0,2,12,12,sim,perecivel,34,40,73,188.55,sim,4.4,nao,,0,37,entregue,
FM-00085,2025-08-06,Uberlândia,MG,C148,L48,app,limpeza,15,1,1,31,14,nao,nao_perecivel,57,45,24,5000.00,nao,3.4,nao,,1,32,em_rota,OUTLIER valor pedido
FM-00086,2025-08-21,Goiânia,GO,C359,L6,app,limpeza,17,4,3,28,9,nao,perecivel,45,30,20,128.46,nao,5,nao,,9,66,procesado,
FM-00087,02-06-2025,Salvador,BA,C172,L14,web,bebidas,33,0,4,7,20,sim,nao_perecivel,79,35,32,21.53,,4.2,nao,,8,74,entregue,
FM-00088,2025-08-01,Uberaba,MG,C263,L36,app,conveniencia,11,2,3,8,7,nao,nao_perecivel,17,35,41,"16,97",sim,1.8,nao,,11,51,procesado,
FM-00089,20/06/2025,Uberlândia,mg,C282,L18,web,hortifruti,7,0,3,8,17,nao,nao_perecivel,10,45,41,94.5,nao,4.7,sim,cliente_desistiu,11,18,cancelado,
FM-00090,2025-02-21,Goiânia,GO,C127,L60,app,bebidas,15,1,1,7,9,nao,nao_perecivel,41,40,47,60.31,,3.2,nao,,0,38,entregue,
FM-00091,2025-03-11,Goiânia,go,C485,L8,web,limpeza,4,2,2,13,22,nao,perecivel,13,45,78,102.05,sim,1.2,sim,atraso,7,10,,
FM-00092,02-20-2025,Goiânia,GO,C146,L21,app,mercearia,10,2,3,29,17,nao,nao_perecivel,29,30,31,121.88,sim,2.9,nao,,0,3,,
FM-00093,2025-07-03,Campinas,SP,C303,L1,app,hortifruti,12,1,3,3,21,nao,nao_perecivel,19,35,38,211.14,sim,5,sim,valor_frete,8,21,em_rota,
FM-00094,2025-07-25,Curitiba,PR,C259,L34,app,limpeza,7,1,1,22,22,nao,perecivel,23,40,33,"180,83",nao,"4,6",nao,,2,19,em_rota,
FM-00095,2025-07-20,Uberlândia,MG,C222,L46,web,mercearia,18,2,3,9,22,nao,perecivel,29,40,48,"164,15",nao,3.5,sim,produto_indisponivel,5,19,,
FM-00096,2025-02-26,Uberaba,mg,C467,L8,web,hortifruti,11,1,1,25,13,nao,nao_perecivel,30,50,55,"179,63",,1.2,nao,,2,41,procesado,
FM-00097,2025-04-02,São Paulo,SP,C6,L25,app,conveniencia,18,3,3,25,18,sim,nao_perecivel,50,35,35,"123,98",nao,"3,5",nao,,6,53,cancelado,
FM-00098,2025-01-22,Uberaba,MG,C450,L22,app,conveniencia,1,1,4,0,19,sim,perecivel,3,30,48,83.26,nao,3.6,nao,,8,45,cancelado,
FM-00099,2025-09-13,Uberlândia,MG,C147,L36,app,mercearia,20,3,6,40,12,sim,perecivel,65,45,92,74.89,sim,1.1,nao,,6,77,procesado,
FM-00100,2025-06-10,Uberlândia,MG,C74,L36,app,limpeza,18,1,2,16,17,nao,perecivel,57,35,45,133.85,sim,"2,2",nao,,150,68,entregue,OUTLIER frequencia compra
FM-00101,2025-09-29,uberaba,mg,C439,L43,app,horti fruti,14,5,4,4,17,nao,perecivel,27,45,20,77.12,,5,nao,,7,30,,
FM-00102,data_invalida,São Paulo,SP,C262,L29,app,horti fruti,15,2,2,31,7,nao,perecivel,40,45,13,198.95,,4.3,nao,,4,84,cancelado,
FM-00103,2025-07-09,são paulo,SP,C462,L33,app,limpeza,27,3,1,16,15,nao,nao_perecivel,52,50,69,15,,"2,5",nao,,12,67,,
FM-00104,2025-04-07,Uberlândia,MG,C209,L10,app,hortifruti,10,0,1,12,22,nao,nao_perecivel,25,30,24,173.11,nao,4.2,nao,,0,83,cancelado,
FM-00105,2025-08-25,São Paulo,SP,C344,L42,web,hortifruti,11,3,3,25,13,nao,perecivel,32,45,56,60.03,sim,2.3,nao,,6,51,cancelado,
FM-00106,14/02/2025,Campinas,SP,C91,L54,app,hortifruti,17,0,2,29,7,nao,nao_perecivel,,50,33,109.23,nao,3.7,sim,produto_indisponivel,5,44,cancelado,
FM-00107,2025-05-04,Uberaba,mg,C274,L5,app,mercearia,15,4,3,20,23,nao,perecivel,42,45,64,251.14,sim,3.4,nao,,4,79,entregue,
FM-00108,2025-02-22,Campinas,SP,C149,L34,app,limpeza,12,0,4,39,11,sim,perecivel,38,30,13,113.83,,5,nao,,4,2,entregue,
FM-00109,data_invalida,uberlândia,MG,C345,L3,app,limpeza,22,0,5,3,22,nao,nao_perecivel,34,50,30,159.97,nao,"2,3",nao,,10,12,,
FM-00110,07/05/2025,Curitiba,PR,C102,L30,app,hortifruti,18,0,1,34,8,nao,perecivel,56,45,53,150.51,,"2,9",nao,,2,37,cancelado,
FM-00111,2025-06-20,Uberlândia,MG,C12,L44,app,hortifruti,11,0,4,14,23,nao,perecivel,16,50,38,189.24,sim,"4,7",nao,,5,34,cancelado,
FM-00112,2025-01-24,Uberlândia,MG,C125,L56,web,hortifruti,7,1,4,21,16,nao,nao_perecivel,25,40,46,60.98,,2.6,nao,,0,22,em_rota,
FM-00113,2025-04-21,São Paulo,SP,C94,L39,app,limpeza,12,3,5,23,18,sim,nao_perecivel,24,45,78,84.71,sim,3.1,nao,,9,62,cancelado,
FM-00114,2025-10-03,São Paulo,SP,C446,L47,app,conveniência,13,1,1,24,16,nao,perecivel,36,50,79,160.0,,3.1,nao,,9,44,cancelado,
