registro_id,data_publicacao,autor_id,cidade,uf,titulo,tema,tempo_leitura_seg,tempo_avaliacao_seg,avaliacao,usuario_id,historico_postagens,dispositivo,verificado,credencial_declarada,credencial_validada,publicacoes_anteriores,premios,engajamento,sentimento,cancelado_assinatura,motivo_cancelamento,status_conteudo,observacao
TST-00000,2025-06-16,A29,Goiânia,SP,Artigo 0,política,234,1,3.2,U269,3,mobile,sim,phd,sim,4,5,64,positivo,nao,sem_interesse,ativo,
TST-00001,data_invalida,A21,São Paulo,sp,Artigo 1,política,355,51,2.5,U109,94,mobile,sim,phd,,16,8,910,positivo,nao,,procesado,
TST-00002,2025-05-19,A50,Curitiba,MG,Artigo 2,política,205,51,4.1,U366,33,desktop,nao,mestre,nao,24,8,192,positivo,nao,conteudo_ruim,removido,
TST-00003,2025-05-07,A129,São Paulo,sp,Artigo 3,política,518,45,3.8,U62,40,desktop,sim,phd,,43,4,164,positivo,nao,conteudo_ruim,,
TST-00004,2025-10-14,A181,Uberlândia,GO,Artigo 4,política,400,50,3.8,U106,39,tablet,sim,mestre,sim,16,10,500,negativo,sim,sem_interesse,,
TST-00005,2025-05-04,A63,Goiânia,GO,Artigo 5,política,233,29,4.6,U419,30,desktop,sim,mestre,nao,3,3,122,positivo,nao,conteudo_ruim,ativo,
TST-00006,2025-10-07,A184,Goiânia,SP,Artigo 6,tecnologia,58,1,4.4,U151,51,mobile,nao,,sim,3,8,365,positivo,nao,fake,,
TST-00007,2025-05-15,A16,Curitiba,SP,Artigo 7,tecnlogia,476,6,3.2,U241,98,desktop,nao,,,22,6,751,neutro,sim,fake,procesado,
TST-00008,2025-07-08,A151,Curitiba,MG,Artigo 8,política,331,42,4.1,U478,90,tablet,sim,phd,sim,49,0,529,positivo,sim,sem_interesse,removido,
TST-00009,2025-06-03,A133,Uberlândia,sp,Artigo 9,saude,650,1,3.4,U299,38,desktop,nao,,,0,2,674,negativo,nao,conteudo_ruim,removido,
TST-00010,04/03/2025,A160,Goiânia,GO,Artigo 10,política,10000,37,5,U176,32,tablet,nao,,sim,17,6,52,positivo,sim,fake,removido,OUTLIER leitura
TST-00011,2025-08-16,A85,Curitiba,SP,Artigo 11,tecnologia,252,36,4.3,U253,65,mobile,nao,especialista,,30,7,967,neutro,nao,conteudo_ruim,ativo,
TST-00012,04-03-2025,A13,Curitiba,MG,Artigo 12,política,582,13,4.0,U106,100,desktop,sim,,,2,4,812,positivo,nao,,,
TST-00013,2025-06-02,A149,Goiânia,sp,Artigo 13,economia,124,28,4.6,U29,91,mobile,nao,phd,,36,1,753,neutro,sim,sem_interesse,removido,
TST-00014,2025-07-20,A56,São Paulo,sp,Artigo 14,política,5,20,5,U193,17,tablet,sim,mestre,,46,7,800,neutro,sim,fake,removido,
TST-00015,2025-02-17,A15,Uberlândia,SP,Artigo 15,política,369,4,2.4,U436,84,tablet,nao,,nao,44,5,497,negativo,nao,fake,removido,
TST-00016,2025-03-25,A23,Goiânia,GO,Artigo 16,política,159,17,4.8,U197,64,mobile,sim,mestre,sim,12,6,296,negativo,nao,sem_interesse,procesado,
TST-00017,07-28-2025,A173,São Paulo,MG,Artigo 17,tecnlogia,195,12,3.1,U471,62,mobile,sim,especialista,,1,0,543,positivo,sim,fake,,
TST-00018,2025-05-29,A169,Goiânia,SP,Artigo 18,política,481,33,2.8,U242,20,tablet,nao,,,1,6,319,positivo,nao,fake,ativo,
TST-00019,2025-06-11,A181,São Paulo,PR,Artigo 19,política,405,32,3.2,U278,48,desktop,sim,especialista,sim,18,4,284,positivo,nao,fake,ativo,
TST-00020,30/06/2025,A108,São Paulo,MG,Artigo 20,saude,469,77,2.6,U295,19,desktop,sim,mestre,,41,6,416,neutro,sim,,removido,
TST-00021,2025-06-03,A156,Curitiba,PR,Artigo 21,tecnlogia,403,60,5,U375,95,desktop,sim,,nao,38,8,241,positivo,sim,conteudo_ruim,removido,
TST-00022,08-22-2025,A52,São Paulo,PR,Artigo 22,tecnlogia,282,53,4.6,U346,96,tablet,sim,mestre,nao,50,10,233,neutro,sim,sem_interesse,,
TST-00023,2025-03-11,A67,São Paulo,sp,Artigo 23,tecnologia,196,40,3.6,U125,5,mobile,nao,phd,,15,10,565,neutro,nao,,procesado,
TST-00024,2025-09-28,A102,São Paulo,sp,Artigo 24,politica,208,62,3.6,U414,37,tablet,nao,,,36,1,742,neutro,nao,,ativo,
TST-00025,2025-07-26,A37,Goiânia,SP,Artigo 25,política,410,500,5,U430,47,mobile,nao,,sim,15,3,964,positivo,sim,fake,procesado,OUTLIER avaliacao
TST-00026,2025-06-07,A187,Goiânia,PR,Artigo 26,economia,404,32,2.5,U37,56,mobile,sim,especialista,nao,5,4,900,negativo,nao,sem_interesse,ativo,
TST-00027,2025-06-15,A16,São Paulo,sp,Artigo 27,tecnologia,5,16,4.7,U464,100,tablet,sim,phd,,42,3,76,positivo,nao,sem_interesse,procesado,
TST-00028,2025-08-21,A79,Curitiba,SP,Artigo 28,tecnologia,292,43,4.6,U420,24,desktop,nao,especialista,,27,9,13,neutro,sim,,removido,
TST-00029,2025-04-14,A45,São Paulo,sp,Artigo 29,ciencia,402,66,3.3,U294,92,mobile,sim,phd,,46,10,815,positivo,nao,fake,procesado,
TST-00030,2025-01-18,A86,Uberlândia,MG,Artigo 30,politica,71,6,4.7,U200,5,tablet,nao,,sim,31,7,53,positivo,sim,sem_interesse,procesado,
TST-00031,25/03/2025,A185,Goiânia,GO,Artigo 31,economia,339,51,4.2,U223,37,desktop,sim,,sim,29,3,88,positivo,sim,sem_interesse,procesado,
TST-00032,data_invalida,A161,Uberlândia,PR,Artigo 32,politica,365,54,4.1,U23,85,desktop,sim,phd,nao,5,1,944,positivo,sim,fake,ativo,
TST-00033,2025-07-26,A108,Curitiba,SP,Artigo 33,tecnologia,227,38,3.0,U104,98,desktop,sim,phd,nao,48,5,612,positivo,nao,sem_interesse,,
TST-00034,2025-09-13,A7,Curitiba,SP,Artigo 34,tecnlogia,252,20,4.5,U427,23,tablet,nao,mestre,,29,3,51,neutro,nao,conteudo_ruim,procesado,
TST-00035,2025-07-31,A184,São Paulo,MG,Artigo 35,tecnlogia,628,14,2.9,U397,17,desktop,sim,especialista,nao,32,5,7,neutro,sim,fake,procesado,
TST-00036,2025-06-02,A59,São Paulo,MG,Artigo 36,política,239,1,3.5,U144,95,tablet,sim,,nao,42,7,671,negativo,sim,,,
TST-00037,2025-05-16,A51,São Paulo,PR,Artigo 37,tecnlogia,297,65,3.9,U396,92,desktop,sim,phd,sim,41,5,807,neutro,sim,,ativo,
TST-00038,2025-09-03,A126,Goiânia,SP,Artigo 38,tecnlogia,382,45,4.0,U24,1,tablet,sim,phd,nao,33,8,378,positivo,nao,conteudo_ruim,,
TST-00039,2025-06-25,A159,São Paulo,sp,Artigo 39,saude,236,1,3.0,U378,29,mobile,sim,mestre,sim,7,5,933,positivo,nao,sem_interesse,procesado,
TST-00040,2025-07-16,A129,Curitiba,sp,Artigo 40,política,382,50,9,U216,39,mobile,sim,phd,,48,8,888,positivo,nao,,,INVALIDO
TST-00041,2025-08-21,A174,São Paulo,PR,Artigo 41,tecnologia,285,49,2.7,U497,85,desktop,sim,phd,nao,0,7,508,positivo,nao,conteudo_ruim,procesado,
TST-00042,2025-10-09,A76,Curitiba,PR,Artigo 42,política,90,19,4.8,U229,64,mobile,sim,phd,sim,19,1,44,positivo,sim,,procesado,
TST-00043,2025-02-06,A6,Goiânia,MG,Artigo 43,tecnologia,125,42,3.3,U356,95,tablet,sim,,nao,1,4,663,positivo,nao,fake,,
