registro_id,data_evento,cidade,uf,cliente_id,categoria,produto,preco,frete,etapa_funil,tempo_carrinho_seg,pagamento,dispositivo,origem,comprou,devolucao,motivo_devolucao,tempo_devolucao_dias,avaliacao,frequencia_compra,dias_desde_ultima_compra,cashback,status,observacao
VIT-00000,2025-09-07,Salvador,ba,C9,calcado,produto_68,200.5,40.45,pagamento,965,pix,mobile,organico,nao,nao,,20,4.3,6,24,nao,procesado,
VIT-00001,2025-02-10,Curitiba,PR,C128,roupa,produto_1,"66,23",77.68,carrinhu,760,,desktop,ads,sim,nao,qualidade,13,3.8,7,63,sim,procesado,
VIT-00002,2025-10-28,São Paulo,sp,C156,roupaa,produto_92,501.45,41.41,visualizou,1573,,mobile,organico,nao,nao,cor,30,2.6,5,61,sim,,
VIT-00003,2025-09-14,Curitiba,pr,C438,roupaa,produto_14,62.46,29.6,carrinhu,407,boleto,desktop,ads,sim,sim,tamanho,9,3.1,7,114,nao,ok,
VIT-00004,16/06/2025,Uberlândia,mg,C344,roupaa,produto_139,593.08,51.75,carrinho,1396,pix,desktop,organico,sim,sim,qualidade,26,4.4,3,104,sim,ok,
VIT-00005,2025-06-01,São Paulo,SP,C354,calcado,produto_41,169.33,28.2,carrinhu,623,pix,desktop,ads,sim,sim,tamanho,7,2.9,10,84,nao,,
VIT-00006,04-02-2025,Salvador,BA,C415,roupaa,produto_168,91.55,59.62,carrinhu,961,boleto,mobile,email,sim,nao,,14,1.1,10,65,sim,procesado,
VIT-00007,2025-02-23,Salvador,BA,C414,calcado,produto_184,395.61,46.27,carrinhu,1899,,mobile,email,nao,nao,qualidade,4,3.2,2,14,nao,procesado,
VIT-00008,2025-09-19,Curitiba,pr,C361,calcado,produto_77,418.58,44.52,carrinhu,551,,mobile,organico,sim,nao,,28,2.8,3,68,nao,ok,
VIT-00009,2025-10-07,São Paulo,SP,C473,acessorio,produto_171,495.26,37.47,compra,1391,boleto,mobile,email,sim,sim,tamanho,10,1.2,8,93,nao,procesado,
VIT-00010,2025-07-01,Curitiba,pr,C32,roupaa,produto_132,9999,10.07,carrinhu,1507,boleto,desktop,email,sim,nao,qualidade,22,3.8,1,91,nao,,OUTLIER
VIT-00011,data_invalida,Uberlândia,MG,C200,acessorio,produto_55,196.66,13.59,carrinhu,906,cartao,desktop,organico,sim,nao,cor,26,4.7,10,87,nao,ok,
VIT-00012,2025-02-28,Salvador,BA,C239,roupaa,produto_55,221.95,41.45,carrinhu,114,boleto,desktop,organico,sim,sim,tamanho,8,4.2,1,100,sim,procesado,
VIT-00013,2025-06-30,Salvador,BA,C399,roupaa,produto_7,"99,26",37.18,carrinho,1334,pix,desktop,ads,sim,nao,qualidade,10,3.7,10,7,nao,ok,
VIT-00014,2025-03-02,Salvador,BA,C224,roupaa,produto_189,399.84,32.19,compra,1826,cartao,mobile,email,sim,sim,tamanho,29,2.3,5,14,nao,procesado,
VIT-00015,2025-09-03,Salvador,ba,C37,roupaa,produto_131,661.67,78.18,carrinho,1003,cartao,desktop,email,nao,nao,cor,9,3.6,8,32,nao,,
VIT-00016,2025-10-21,Curitiba,pr,C164,acessorio,produto_149,570.21,33.66,carrinhu,1788,pix,mobile,email,sim,nao,cor,10,1.2,0,44,nao,,
VIT-00017,2025-03-26,Uberlândia,mg,C260,roupaa,produto_125,116.36,54.6,carrinho,496,cartao,desktop,email,sim,nao,,20,3.5,6,74,sim,ok,
VIT-00018,17/01/2025,Salvador,BA,C19,roupaa,produto_89,649.57,48.55,carrinhu,998,,mobile,email,sim,sim,cor,29,3.2,5,48,nao,,
VIT-00019,04-09-2025,Salvador,ba,C13,roupa,produto_131,154.95,28.88,carrinho,108,boleto,desktop,organico,nao,nao,,26,3.4,5,56,sim,,
VIT-00020,06-25-2025,Salvador,BA,C162,roupa,produto_32,262.85,13.57,compra,1508,cartao,mobile,ads,sim,nao,cor,20,1.3,3,73,sim,procesado,
VIT-00021,2025-04-05,Curitiba,PR,C106,roupaa,produto_14,"517,37",45.22,pagamento,15,boleto,desktop,organico,nao,nao,tamanho,2,4.1,6,86,nao,procesado,
VIT-00022,07-10-2025,Salvador,BA,C442,roupaa,produto_159,361.97,37.15,carrinho,128,,mobile,ads,nao,nao,cor,22,3.1,2,9,sim,procesado,
VIT-00023,2025-01-20,Curitiba,PR,C145,calcado,produto_25,742.13,69.21,visualizou,244,cartao,desktop,organico,sim,nao,cor,20,1.8,6,107,sim,,
VIT-00024,06-07-2025,Uberlândia,mg,C407,calcado,produto_14,263.09,12.08,carrinho,611,boleto,mobile,ads,nao,nao,tamanho,25,1.7,5,19,sim,,
VIT-00025,2025-05-10,Curitiba,pr,C451,acessorio,produto_186,"741,42",2.53,carrinhu,10000,pix,desktop,email,sim,nao,,21,3.0,2,118,nao,ok,OUTLIER
VIT-00026,02/10/2025,Curitiba,PR,C289,roupaa,produto_153,320.16,46.8,carrinhu,273,pix,mobile,organico,nao,nao,,9,1.7,0,2,nao,procesado,
VIT-00027,14/03/2025,Salvador,ba,C276,calcado,produto_127,"381,78",14.07,pagamento,1901,,mobile,organico,nao,nao,,2,4.8,9,97,nao,,
VIT-00028,2025-08-07,São Paulo,sp,C113,acessorio,produto_123,555.24,50.22,visualizou,1633,cartao,desktop,ads,sim,nao,qualidade,7,2.2,0,16,nao,,
VIT-00029,2025-04-01,Curitiba,PR,C455,roupaa,produto_32,"183,94",63.12,carrinhu,191,boleto,mobile,email,sim,nao,,19,2.2,1,85,nao,ok,
