registro_id,data_pedido,cidade,uf,cliente_id,prime,categoria_produto,produto,vendedor_tipo,valor_produto,valor_frete,prazo_estimado_dias,tempo_processamento_h,tempo_transporte_h,distancia_cd_cliente_km,volume_pacotes_rota,clima_rota,evento_sazonal,entrega_atrasada,avaliacao_cliente,devolucao,motivo_devolucao,produto_wishlist,abandonou_carrinho,comprado_junto,status_pedido,observacao
AMZ-00000,2025-03-21,Salvador,BA,C15,nao,eletronicos,Smartphone,marketplace,1148.41,"62,03",10,11,22,160.55,70,sol,nenhum,nao,3.1,nao,,nao,sim,nao,procesado,
AMZ-00001,2025-01-25,Uberlândia,MG,C4,sim,vestuario,Jaqueta,amazon,1186.66,0,7,21,47,182.07,109,nublado,nenhum,nao,4.7,nao,,,sim,nao,entregue,
AMZ-00002,2025-01-07,São Paulo,SP,C533,nao,eletronicos,Echo Dot,marketplace,2371.36,60.98,3,5,65,1,36,chuva,nenhum,nao,3.3,nao,,nao,nao,,procesado,
AMZ-00003,2025-01-29,Campinas,SP,C198,nao,livros,HQ Colecionável,marketplace,53.3,27.9,10,6,16,38.94,154,nublado,prime_day,nao,2.9,nao,,sim,nao,sim,procesado,
AMZ-00004,2025-06-12,Goiânia,GO,C563,sim,casa,Panela,amazon,1384.0,0,1,15,55,85.74,173,sol,nenhum,sim,2.5,nao,,nao,nao,nao,cancelado,
AMZ-00005,2025-09-05,Campinas,SP,C261,sim,eletronico,Arroz,marketplace,459.74,"13,51",2,11,68,40.28,64,nublado,prime_day,sim,1.3,sim,falsificado,,nao,sim,entregue,
AMZ-00006,09-24-2025,Curitiba,PR,C460,nao,supermercado,Detergente,marketplace,331.66,83.24,5,2,72,1,50,chuva,black_friday,nao,5.0,nao,,sim,sim,sim,devolvido,
AMZ-00007,2025-04-14,Uberlândia,MG,C312,nao,vestuario,Mochila,amazon,2170.92,74.42,10,18,40,75.81,114,temporal,nenhum,sim,2.5,sim,,sim,sim,nao,cancelado,
AMZ-00008,2025-08-15,Goiânia,GO,C574,nao,vestuario,Tênis,amazon,3460.02,80.78,1,12,22,188.91,88,nublado,nenhum,sim,"1,9",sim,arrependimento,,sim,nao,devolvido,
AMZ-00009,2025-10-28,São Paulo,SP,C446,nao,livros,Livro Técnico,amazon,1088.29,40.71,5,1,55,171.29,55,chuva,nenhum,nao,2.9,nao,,nao,nao,sim,entregue,
AMZ-00010,2025-01-07,Curitiba,PR,C33,sim,eletronicos,Smartphone,amazon,1850.37,0,4,19,900,113.42,27,sol,black_friday,nao,4.8,nao,,,nao,nao,devolvido,OUTLIER transporte muito longo
AMZ-00011,2025-06-08,curitiba,PR,C514,nao,vestuario,Camiseta,marketplace,2485.98,24.57,4,5,26,93.18,104,temporal,nenhum,nao,5,sim,NA,nao,nao,sim,entregue,
AMZ-00012,2025-08-12,Curitiba,PR,C242,sim,vestuario,Mochila,marketplace,2311.88,0,1,9,41,173.04,131,sol,nenhum,sim,2.8,nao,,,nao,,cancelado,
AMZ-00013,2025-07-10,curitiba,PR,C104,sim,livros,Kindle eBook,amazon,146.46,40.54,10,15,17,221.46,125,nublado,nenhum,sim,1.5,sim,produto_danificado,nao,nao,nao,entregue,
AMZ-00014,2025-05-10,Uberlândia,MG,C545,sim,supermercado,Sabonete,amazon,905.27,0,2,2,31,185.82,124,chuva,natal,nao,3.5,nao,,sim,nao,sim,entregue,
AMZ-00015,2025-10-01,São Paulo,SP,C29,sim,livros,HQ Colecionável,marketplace,2811.42,0,10,28,35,86.4,66,nublado,nenhum,nao,4.5,nao,,sim,nao,sim,procesado,
AMZ-00016,2025-05-10,Uberlândia,MG,C491,sim,super mercado,Livro Técnico,amazon,588.76,0,10,5,59,190.54,45,sol,black_friday,nao,4.0,sim,NA,,nao,,,
AMZ-00017,23/02/2025,Curitiba,PR,C175,sim,supermercado,Café,amazon,2220.42,0,10,16,50,"159,02",143,sol,natal,nao,3.4,nao,,sim,sim,,,
AMZ-00018,2025-08-20,Curitiba,PR,C445,sim,eletronicos,Echo Dot,marketplace,1006.49,0,4,12,25,133.85,5,sol,prime_day,nao,2.3,sim,falsificado,sim,nao,,cancelado,
AMZ-00019,2025-02-26,Salvador,BA,C596,nao,supermercado,Café,marketplace,2548.11,79.65,5,28,60,70.13,42,nublado,natal,nao,4.3,nao,,,nao,sim,entregue,
AMZ-00020,2025-01-30,Uberlândia,MG,C313,sim,livros,Kindle eBook,amazon,2677.72,0,5,15,8,52.55,77,sol,nenhum,nao,4.2,nao,,sim,nao,,procesado,
AMZ-00021,2025-08-06,uberaba,MG,C363,nao,eletronicos,Smartphone,amazon,"2517,07",10.79,1,14,68,1,143,chuva,prime_day,sim,2.4,sim,arrependimento,,nao,sim,,
AMZ-00022,2025-09-30,Uberaba,MG,C295,sim,eletronicos,Echo Dot,marketplace,1442.22,0,1,20,15,202.03,129,sol,nenhum,sim,2.9,sim,atraso,sim,nao,sim,cancelado,
AMZ-00023,2025-07-25,Uberlândia,MG,C457,nao,vestuario,Tênis,amazon,1026.09,"30,18",10,1,47,1,116,chuva,nenhum,nao,4.3,nao,,,nao,,,
AMZ-00024,02/03/2025,Uberaba,MG,C153,nao,casa,Lâmpada LED,marketplace,766.96,49.74,4,6,26,88.63,166,chuva,black_friday,nao,4.0,nao,,sim,nao,nao,procesado,
AMZ-00025,2025-05-19,São Paulo,SP,C178,sim,supermercado,Detergente,marketplace,3396.84,0,4,23,59,5000,41,chuva,nenhum,nao,"3,4",nao,,,nao,sim,,OUTLIER distancia extrema
AMZ-00026,2025-03-13,são paulo,SP,C17,sim,casa,Lâmpada LED,marketplace,1892.14,"39,92",10,13,82,68.88,57,chuva,nenhum,nao,5,nao,,nao,sim,sim,cancelado,
AMZ-00027,05/03/2025,Curitiba,PR,C267,sim,supermercado,Café,amazon,2222.39,0,5,12,64,103.16,133,sol,nenhum,nao,5,nao,,,nao,nao,,
