registro_id,data_pedido,cidade,uf,cliente_id,tipo_pedido,sabor_pizza,categoria,ingrediente_principal,quantidade_ingrediente_g,validade_ingrediente,ingrediente_vencido,desperdicio_g,valor_pedido,tempo_preparo_min,tempo_entrega_min,dia_semana,hora_pedido,promocao,pedido_cancelado,motivo_cancelamento,tempo_cancelamento_min,avaliacao_cliente,forma_pagamento,status,observacao
BM-00000,2025-08-14,Uberaba,SP,C123,online,mussarelaa,doce,quejio,219,2025-07-05,nao,33,129.61,14,70,segunda,22,nenhuma,nao,,18,4.3,cartao,finalizado,
BM-00001,2025-05-05,Uberaba,mg,C141,online,calabreza,doce,queijo,200,data_invalida,nao,0,75.72,20,53,quinta,17,nenhuma,nao,,33,2.1,pix,,
BM-00002,2025-01-05,São Paulo,mg,C241,balcao,mussarelaa,doce,calabresa,621,2025-04-30,sim,83,40.26,5,21,terça,18,cupom,nao,,33,2.0,pix,finalizado,
BM-00003,2025-07-14,Uberlândia,MG,C91,online,mussarelaa,tradicional,quejio,326,2025-10-21,nao,191,125.63,20,46,segunda,20,nenhuma,nao,,34,1.0,dinheiro,,
BM-00004,2025-05-07,São Paulo,SP,C179,balcao,mussarela,tradicional,quejio,90,data_invalida,sim,203,66.69,19,57,terça,22,,nao,,11,4.3,pix,,
BM-00005,07-01-2025,Franca,MG,C196,online,mussarelaa,doce,quejio,183,2025-02-06,sim,147,75.48,6,18,quarta,23,combo,nao,,5,4.3,pix,,
BM-00006,2025-02-05,Uberaba,MG,C338,balcao,calabreza,tradicional,quejio,428,2025-08-28,sim,106,120.08,26,44,domingo,21,nenhuma,nao,,10,1.1,dinheiro,,
BM-00007,2025-07-05,São Paulo,SP,C275,delivery,mussarelaa,doce,quejio,454,2025-09-17,sim,66,"129,12",26,46,sexta,22,nenhuma,nao,,18,1.3,pix,finalizado,
BM-00008,2025-06-01,Franca,mg,C462,delivery,mussarela,doce,quejio,116,02-24-2025,sim,0,78.2,13,33,domingo,19,cupom,sim,demora,18,3.1,cartao,,
BM-00009,2025-06-20,Uberlândia,SP,C60,delivery,mussarelaa,tradicional,calabresa,681,2025-09-02,sim,220,43.21,10,50,quarta,20,,nao,,35,4.4,dinheiro,finalizado,
BM-00010,2025-10-15,Franca,SP,C358,online,calabreza,especial,catupiry,468,2025-09-14,sim,5000,86.2,20,24,sabado,23,,nao,,31,4.3,cartao,cancelado,OUTLIER desperdicio
BM-00011,09-12-2025,Franca,MG,C253,delivery,frango_catupiry,doce,quejio,337,2025-01-22,nao,39,83.07,27,45,quarta,23,cupom,sim,cliente_desistiu,18,4.3,dinheiro,cancelado,
BM-00012,2025-07-22,Uberaba,mg,C113,delivery,calabreza,especial,quejio,340,2025-10-28,sim,33,74.74,23,47,sexta,23,nenhuma,sim,erro_pedido,15,3.8,cartao,procesado,
BM-00013,2025-02-27,Franca,MG,C413,online,mussarelaa,especial,quejio,387,2025-08-09,nao,54,56.89,21,38,terça,20,,nao,,5,1.1,cartao,procesado,
BM-00014,2025-06-16,Franca,SP,C141,online,mussarela,doce,quejio,479,2025-01-07,nao,134,107.51,7,33,quinta,22,cupom,nao,,7,3.2,pix,procesado,
BM-00015,09-12-2025,Uberaba,mg,C358,online,mussarelaa,doce,queijo,145,2025-09-19,sim,169,96.58,17,32,sexta,19,combo,sim,erro_pedido,4,1.7,pix,procesado,
BM-00016,2025-06-11,São Paulo,mg,C233,balcao,mussarelaa,tradicional,quejio,434,data_invalida,nao,56,93.4,14,60,sexta,22,nenhuma,sim,,20,2.7,pix,finalizado,
BM-00017,2025-02-05,Uberlândia,MG,C389,online,mussarelaa,doce,quejio,296,2025-09-10,nao,0,63.4,33,39,sexta,20,nenhuma,nao,,7,2.5,dinheiro,cancelado,
BM-00018,2025-05-23,São Paulo,SP,C402,balcao,calabresa,especial,quejio,465,2025-04-25,nao,324,"136,76",17,13,quarta,23,,nao,,38,2.3,dinheiro,cancelado,
BM-00019,2025-05-25,Uberlândia,SP,C239,balcao,calabreza,tradicional,quejio,161,2025-04-03,nao,211,41.3,13,34,domingo,22,cupom,nao,,6,2.0,pix,,
BM-00020,2025-08-29,São Paulo,MG,C191,delivery,especial,doce,catupiry,382,2025-09-14,sim,85,77.24,11,54,segunda,19,,nao,,10,4.9,cartao,cancelado,
BM-00021,2025-01-18,São Paulo,MG,C274,online,portuguesa,doce,quejio,172,2025-03-14,sim,0,52.7,25,29,terça,18,nenhuma,sim,erro_pedido,4,3.8,pix,,
BM-00022,2025-01-28,Franca,MG,C234,balcao,frango_catupiry,doce,calabresa,75,2025-03-14,nao,121,105.34,18,35,quinta,17,cupom,sim,cliente_desistiu,21,4.4,cartao,finalizado,
BM-00023,02/06/2025,São Paulo,mg,C318,delivery,mussarelaa,tradicional,queijo,113,2025-02-26,sim,184,98.3,28,19,domingo,23,cupom,nao,,31,4.9,pix,cancelado,
BM-00024,2025-10-26,Uberaba,SP,C383,delivery,calabreza,doce,molho,199,2025-08-04,sim,12,"114,9",20,82,quinta,21,combo,nao,,10,2.0,dinheiro,finalizado,
BM-00025,2025-04-28,Franca,SP,C459,balcao,mussarela,especial,quejio,776,2025-03-30,nao,86,"103,92",11,300,segunda,22,nenhuma,nao,,18,1.5,cartao,procesado,OUTLIER entrega
BM-00026,2025-03-23,São Paulo,mg,C59,balcao,calabresa,especial,bacon,694,2025-02-21,nao,91,"99,82",25,42,domingo,18,combo,sim,,23,4.0,cartao,finalizado,
BM-00027,08-19-2025,São Paulo,SP,C66,online,mussarelaa,especial,molho,356,2025-07-27,sim,113,59.91,16,53,quinta,22,nenhuma,nao,,9,5.0,pix,cancelado,
BM-00028,2025-09-08,São Paulo,MG,C258,delivery,chocolate,especial,quejio,313,2025-07-12,nao,68,"66,85",15,39,terça,22,nenhuma,nao,,36,3.5,pix,cancelado,
BM-00029,2025-06-28,Uberlândia,SP,C200,balcao,mussarelaa,doce,calabresa,740,2025-04-24,sim,191,58.82,30,16,segunda,17,cupom,nao,,5,1.5,pix,cancelado,
BM-00030,2025-04-08,Uberaba,MG,C333,balcao,mussarelaa,doce,quejio,198,2025-02-18,sim,142,91.21,17,23,sabado,23,combo,nao,,31,2.9,dinheiro,,
BM-00031,data_invalida,Franca,mg,C420,online,especial,tradicional,quejio,80,2025-01-23,sim,0,"97,26",35,27,sexta,21,cupom,nao,,30,1.7,dinheiro,finalizado,
BM-00032,2025-07-04,Franca,MG,C355,delivery,mussarelaa,tradicional,quejio,585,2025-03-15,sim,120,133.15,13,24,sexta,21,nenhuma,nao,,23,3.2,pix,procesado,
BM-00033,2025-02-09,Uberaba,SP,C477,balcao,portuguesa,especial,queijo,436,2025-01-09,sim,41,139.1,22,31,terça,21,nenhuma,nao,,35,4.7,cartao,finalizado,
BM-00034,2025-08-21,São Paulo,mg,C480,online,portuguesa,tradicional,calabresa,514,2025-04-16,sim,149,57.91,21,15,quinta,20,cupom,nao,,38,1.3,dinheiro,,
BM-00035,2025-05-06,Franca,SP,C186,online,mussarelaa,tradicional,queijo,290,2025-03-23,nao,0,136.34,13,10,segunda,23,combo,sim,cliente_desistiu,25,2.4,pix,cancelado,
BM-00036,2025-01-21,Franca,SP,C165,balcao,mussarelaa,especial,quejio,395,2025-01-25,nao,187,102.44,31,34,quinta,20,combo,nao,,12,1.8,pix,procesado,
BM-00037,2025-05-17,Franca,mg,C92,balcao,mussarelaa,especial,quejio,142,2025-04-12,sim,225,43.42,5,26,terça,21,,sim,erro_pedido,14,1.5,cartao,cancelado,
BM-00038,02-15-2025,Uberlândia,mg,C312,online,mussarelaa,tradicional,quejio,181,2025-07-20,sim,56,40.35,12,48,quarta,18,,sim,erro_pedido,29,4.1,pix,procesado,
BM-00039,2025-08-28,Franca,mg,C322,balcao,portuguesa,especial,quejio,623,2025-09-04,nao,28,65.37,20,40,quarta,19,cupom,sim,demora,25,2.9,cartao,procesado,
BM-00040,2025-04-12,Uberlândia,MG,C115,online,mussarelaa,especial,quejio,559,2025-09-25,sim,54,138.96,23,54,sabado,18,,nao,,23,9,pix,finalizado,INVALIDO
BM-00041,2025-07-20,São Paulo,SP,C480,delivery,calabreza,doce,queijo,404,09-09-2025,sim,28,84.0,18,11,domingo,19,nenhuma,sim,,23,1.4,pix,cancelado,
BM-00042,2025-05-16,Franca,SP,C460,online,calabresa,tradicional,quejio,600,09-20-2025,sim,228,101.06,21,43,domingo,23,,nao,,37,1.5,pix,procesado,
BM-00043,23/05/2025,São Paulo,MG,C381,balcao,calabreza,doce,molho,104,2025-09-12,sim,74,61.48,6,57,domingo,18,,nao,,20,1.9,pix,procesado,
BM-00044,17/01/2025,Uberlândia,mg,C446,balcao,mussarelaa,doce,catupiry,654,2025-07-10,nao,42,52.51,13,44,quinta,23,,nao,,29,2.1,cartao,,
BM-00045,2025-09-25,Uberaba,mg,C287,balcao,calabreza,doce,quejio,496,2025-02-08,nao,123,"97,28",16,29,domingo,17,nenhuma,nao,,6,3.9,pix,,
BM-00046,2025-10-16,Franca,MG,C425,delivery,mussarelaa,especial,quejio,314,2025-07-28,nao,205,60.27,31,58,quarta,21,cupom,nao,,32,1.8,cartao,procesado,
BM-00047,2025-01-03,São Paulo,mg,C181,balcao,mussarelaa,especial,quejio,375,2025-04-08,nao,44,50.17,25,26,quarta,22,nenhuma,nao,,10,4.4,cartao,cancelado,
BM-00048,2025-01-15,Uberaba,SP,C262,balcao,especial,doce,quejio,573,11/02/2025,nao,350,127.01,13,55,domingo,20,cupom,nao,,11,2.0,pix,procesado,
BM-00049,2025-01-02,São Paulo,mg,C24,online,especial,doce,queijo,599,2025-08-07,sim,31,61.29,13,37,quinta,19,cupom,nao,,31,4.7,pix,finalizado,
BM-00050,2025-09-26,Uberaba,SP,C267,balcao,mussarelaa,doce,quejio,731,2025-03-11,sim,103,40.24,33,23,sexta,22,combo,nao,,14,1.9,pix,cancelado,
BM-00051,2025-04-24,São Paulo,MG,C63,online,calabreza,doce,quejio,287,2025-07-07,nao,148,"134,11",21,37,domingo,18,cupom,nao,,14,4.5,dinheiro,finalizado,
BM-00052,2025-10-11,Franca,MG,C280,online,frango_catupiry,tradicional,catupiry,570,2025-02-13,sim,117,60.15,17,21,quarta,23,cupom,nao,,8,4.9,cartao,cancelado,
BM-00053,2025-01-01,Uberaba,mg,C421,balcao,calabreza,doce,quejio,535,2025-02-10,sim,157,35.0,28,59,quinta,23,,nao,,4,1.5,pix,finalizado,
BM-00054,2025-09-18,Uberlândia,SP,C409,online,mussarelaa,especial,calabresa,338,2025-03-08,nao,133,67.93,14,42,domingo,19,nenhuma,nao,,17,3.8,dinheiro,,
BM-00055,07-22-2025,Uberaba,mg,C359,balcao,especial,doce,quejio,240,2025-06-30,sim,123,1000,11,22,terça,20,cupom,nao,,8,3.2,pix,procesado,OUTLIER valor
BM-00056,2025-06-01,Uberaba,mg,C390,balcao,calabreza,especial,catupiry,460,2025-07-25,nao,212,128.36,5,30,quinta,21,nenhuma,nao,,7,3.5,pix,cancelado,
BM-00057,2025-10-25,São Paulo,MG,C76,delivery,calabreza,doce,queijo,310,2025-05-14,nao,134,135.65,26,54,segunda,17,cupom,nao,,5,1.7,pix,finalizado,
BM-00058,2025-07-16,Franca,MG,C498,balcao,mussarelaa,especial,queijo,52,2025-07-29,sim,133,92.5,13,13,sabado,21,cupom,nao,,19,3.2,cartao,cancelado,
BM-00059,data_invalida,Uberlândia,SP,C108,balcao,mussarelaa,tradicional,calabresa,78,2025-01-17,nao,72,72.53,13,34,terça,21,,sim,,18,2.9,pix,finalizado,
BM-00060,06/07/2025,Uberaba,SP,C161,online,calabresa,tradicional,catupiry,180,2025-08-02,sim,56,110.01,14,62,segunda,20,,nao,,34,4.7,dinheiro,procesado,
BM-00061,2025-07-29,Franca,SP,C168,delivery,calabreza,especial,molho,702,01-09-2025,nao,238,98.59,22,43,quinta,22,nenhuma,nao,,37,1.5,cartao,cancelado,
BM-00062,2025-02-05,Uberlândia,SP,C126,online,mussarelaa,doce,quejio,325,2025-01-28,sim,47,70.0,5,48,quarta,23,cupom,nao,,8,4.8,dinheiro,,
BM-00063,25/01/2025,Uberaba,SP,C271,balcao,mussarelaa,doce,molho,118,2025-07-08,nao,99,87.22,8,59,segunda,18,cupom,nao,,21,3.0,dinheiro,,
