registro_id,data_chamado,cidade,uf,bairro,cliente_id,profissional_id,tipo_servico,especialidade_profissional,urgencia,distancia_km,tempo_deslocamento_min,tempo_execucao_min,tempo_total_min,valor_orcamento,valor_pago,avaliacao_cliente,reclamacao,retorno_correcao,dias_desde_ultimo_uso,idade_imovel_anos,cupom_utilizado,status_chamado,observacao
FIX-00000,2025-07-22,Salvador,BA,Morumbi,C236,P125,pintura,encanador,emergencial,5.63,37,113,150,"512,9",513.84,3.1,nao,nao,322,48,sim,procesado,
FIX-00001,2025-05-10,Uberaba,MG,Boa Vista,C229,P25,eletrica,jardineiro,baixa,"8,45",56,60,116,626.97,719.09,3.4,nao,nao,179,6,,em_andamento,
FIX-00002,2025-03-15,Campinas,SP,Jardim America,C272,P57,pintura,jardineiro,baixa,"17,08",114,82,196,890.06,844.41,4.5,sim,nao,96,17,sim,cancelado,
FIX-00003,2025-01-23,Goiânia,GO,Santa Maria,C122,P142,hidraulica,limpeza,baixa,"8,7",,113,175,533.99,547.91,3.0,sim,nao,246,10,nao,cancelado,
FIX-00004,03/06/2025,São Paulo,SP,Boa Vista,C419,P118,hidraulica,pintor,baixa,"15,02",87,82,169,840.39,975.13,"3,8",nao,nao,131,52,,,
FIX-00005,06-04-2025,Curitiba,PR,Jardim America,C57,P100,montagem_moveis,encanador,media,9.03,75,43,118,722.92,852.5,3.6,nao,nao,305,78,sim,finalizado,
FIX-00006,2025-05-31,São Paulo,SP,Planalto,C331,P51,limpeza,pintor,baixa,5.25,29,49,78,202.36,202.69,2.6,sim,sim,318,32,nao,procesado,
FIX-00007,2025-04-27,São Paulo,SP,Jardim America,C255,P41,hidraulica,encanador,alta,5.76,39,120,159,646.67,"738,41",4.5,nao,nao,80,62,,procesado,
FIX-00008,2025-05-14,Campinas,SP,Jardim America,C364,P136,hidraulica,limpeza,baixa,4.34,25,116,141,566.97,590.76,3.6,nao,nao,11,76,sim,em_andamento,
FIX-00009,2025-07-22,salvador,BA,Boa Vista,C84,P148,jardinagem,montador,media,"3,71",17,87,104,"600,91",673.71,"4,2",nao,nao,57,66,sim,finalizado,
FIX-00010,2025-04-04,São Paulo,SP,Morumbi,C154,P72,montagem,eletricista,alta,7.2,480,53,89,590.83,519.03,1.5,sim,nao,207,25,nao,,OUTLIER deslocamento muito longo
FIX-00011,2025-01-23,Uberlândia,MG,Planalto,C88,P94,eletrica,pintor,media,"17,27",150,101,251,894.55,810.36,3.4,nao,nao,150,71,,,
FIX-00012,data_invalida,são paulo,SP,Industrial,C273,P141,eletrica,encanador,baixa,"0,3",12,133,145,287.11,"286,63",2.8,sim,nao,216,56,sim,,
FIX-00013,2025-05-05,Salvador,BA,Centro,C468,P90,hidraulica,eletricista,media,0.3,6,116,122,"728,08","747,29",4.3,nao,nao,293,41,nao,procesado,
